name,dev_full,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19
Subanun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puyuma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ifugao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tawi_Tawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makin,0.09057099999999996,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
SaraAinu,0.07016299999999998,0.0,0.0,0.0,0.0,0.0,0.0
Bunun,0.108271,0.0,0.0,0.0,0.0,0.0,0.0
Malays,0.130226,0.0,0.0,0.0,0.0,0.0,0.0
Macassarese,0.0,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
OyoYoruba,0.17807199999999995,0.0,0.0,0.0,0.0,0.0,0.0
Sicilians,0.0,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Cherkess,0.0,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Punan,0.04939499999999997,0.0,0.0,0.0,0.0,0.0,0.0
EasterIslanders,0.05829799999999996,0.107662,0.0,0.0,0.0,0.01170899999999997,0.0
Nootka,0.06572399999999995,0.167885,0.0,0.0,0.0,0.0,0.0
Huave,0.17807199999999995,0.0,0.0,0.0,0.0,0.0,0.0
Mazateco,0.016328999999999982,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Choco,0.21433399999999997,0.167885,0.0,0.0,0.0,0.0,0.0
Haitians,0.016328999999999982,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Romanians,0.03162100000000001,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
FrenchCanadians,0.03162100000000001,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
TristandaCunha,0.03162100000000001,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Czechs,0.03162100000000001,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Kurd,0.0,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Andamanese,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Toradja,0.09798499999999999,0.0,0.0,0.0,0.0,0.0,0.0
Alorese,0.06881599999999999,0.0,0.0,0.0,0.0,0.0,0.0
Kapingamarangi,0.466357,0.0,0.0,0.0,0.0,0.0,0.0
Pukapukans,0.245624,0.0,0.0,0.0,0.0,0.563616,0.0
Mangaians,0.194531,0.0,0.0,0.0,0.0,0.5,0.0
Bellacoola,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Quinault,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Catawba,0.019328999999999985,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Chorti,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Jamaicans,0.015292000000000028,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
MpeneziNgoni,0.27888499999999994,0.0,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Merina,0.214753,0.0,0.0,0.0,0.0,0.563616,0.0
Mende,0.210867,0.0,0.0,0.0,0.0,0.0,0.0
Maguzawa,0.14164800000000002,0.0,0.0,0.0,0.0,0.0,0.0
Bogo,0.0,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Iranians,0.0,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Yami,0.030833000000000027,0.0,0.0,0.0,0.0,0.0,0.0
Hanunoo,0.059090000000000004,0.0,0.0,0.964078,0.0,0.0,0.0
Mentaweians,0.05082800000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Kwakiutl,0.04121700000000003,0.167885,0.0,0.0,0.0,0.063616,0.0
Comox,0.024147000000000002,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Tucuna,0.15458600000000003,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Xam,0.019567999999999974,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Luchazi,0.09547900000000001,0.0,0.0,0.0,0.0,0.0,0.0
Longuda,0.10617799999999997,0.0,0.0,0.0,0.0,0.063616,0.0
Afar,0.019567999999999974,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Gurage,0.02518899999999999,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Dilling,0.14767099999999997,0.0,0.0,0.0,0.0,0.0,0.0
PolishJews,0.04443799999999998,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Irish,0.03889699999999999,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Hutsul,0.03889699999999999,0.167885,0.0,0.0,0.0,0.01170899999999997,0.0
Hazara,0.019567999999999974,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Ami,0.225509,0.0,0.0,0.0,0.0,0.0,0.0
Manobo,0.144813,0.0,0.0,0.0,0.0,1.0,0.0
Bgu,0.26022599999999996,0.0,0.0,0.0,0.0,0.0,0.19521500000000003
Chamorro,0.19187,0.167885,0.0,0.0,0.0,0.0,0.0
Trukese,0.5417190000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Ulithians,0.5417190000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Nunamiut,0.0,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Taqagmiut,0.14767099999999997,0.0,0.0,0.0,0.0,0.0,0.0
Puyallup,0.0007399999999999907,0.0,0.0,0.0,0.0,0.063616,0.0
Lillooet,0.0,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Naskapi,0.02518899999999999,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Popoluca,0.0,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Paraujano,0.0007399999999999907,0.0,0.0,0.0,0.0,0.063616,0.0
Aweikoma,0.540286,0.0,0.0,0.0,0.0,0.0,0.0
Ashanti,0.39810100000000004,0.0,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
WodaabeFulani,0.136571,0.0,0.0,0.0,0.0,0.0,0.0
Arusi,0.089926,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Serbs,0.089926,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Japanese,0.01632900000000001,0.167885,0.0,0.0,0.0,0.0,0.0
Rossel,0.19422500000000004,0.0,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Rotumans,0.34003700000000003,0.0,0.0,0.0,0.0,0.563616,0.0
Maori,0.24074099999999998,0.0,0.0,0.0,0.0,0.5,0.0
Sivokakmeit,0.018175999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Tareumiut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iglulik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogrib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingalik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Twana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yurok,0.13875300000000002,0.167885,0.0,0.0,0.0,1.0,0.0
Mixtec,0.13875300000000002,0.167885,0.0,0.0,0.0,1.0,0.0
Jacaltec,0.17950500000000003,0.0,0.0,0.0,0.0,0.0,0.0
Piapoco,0.01632900000000001,0.167885,0.0,0.0,0.0,0.0,0.0
Panare,0.19422500000000004,0.0,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Toba,0.01632900000000001,0.167885,0.0,0.0,0.0,0.0,0.0
Bergdama,0.109322,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Tanala,0.11943400000000001,0.0,0.0,0.0,0.0,0.563616,0.0
Efik,0.188915,0.0,0.0,0.0,0.0,0.0,0.0
Birom,0.249241,0.0,0.13528,0.0,0.0,0.01170899999999997,0.19521500000000003
Chawai,0.44804700000000003,0.0,0.0,0.276941,0.0,0.0,0.0
Shilluk,0.178653,0.0,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Teso,0.18438500000000002,0.0,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Tigrinya,0.10492599999999999,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
SnusZekara,0.109322,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
RwalaBedouin,0.10905599999999999,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
AnatolianTurks,0.109322,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
ImperialRomans,0.109322,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
SpanishBasques,0.14755200000000002,0.0,0.0,0.0,0.0,1.0,0.0
Georgians,0.10492599999999999,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
MarriBaluch,0.06079399999999999,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Pathan,0.109322,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Atayal,0.128603,0.0,0.0,0.0,0.0,0.063616,0.0
Lamotrek,0.343799,0.129838,0.0,0.0,0.0,0.01170899999999997,0.0
Molima,0.20559100000000002,0.0,0.0,0.0,0.0,0.05776199999999998,0.19521500000000003
Rennell,0.099354,0.0,0.0,0.0,0.0,0.063616,0.0
Rarotongans,0.28518,0.167885,0.0,0.0,0.0,0.5,0.0
Carrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escoumains,0.076817,0.167885,0.0,0.0,0.0,0.05776199999999998,0.0
Abnaki,0.076817,0.167885,0.0,0.0,0.0,0.05776199999999998,0.0
Taos,0.0030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0
Cora,0.13434,0.167885,0.0,0.964078,0.0,0.05776199999999998,0.0
Aztec,0.041456999999999994,0.167885,0.0,0.0,0.0,0.0,0.0
Chichimec,0.08566399999999999,0.0,0.0,0.964078,0.0,0.436384,0.0
Totonac,0.135879,0.167885,0.0,0.0,0.0,0.712338,0.0
Bribri,0.09317600000000001,0.0,0.0,0.964078,0.0,0.01170899999999997,0.0
Tunebo,0.083289,0.167885,0.0,0.0,0.0,0.063616,0.0
NorthernCayapo,0.224974,0.0,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Mataco,0.041456999999999994,0.167885,0.0,0.0,0.0,0.0,0.0
Yahgan,0.109322,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Lozi,0.10279400000000001,0.0,0.0,0.0,0.0,0.063616,0.0
Chokwe,0.18973600000000002,0.129838,0.0,0.0,0.0,0.01170899999999997,0.0
Kpe,0.46280299999999996,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Sherbro,0.281355,0.0,0.0,0.0,0.0,1.0,0.19521500000000003
Wolof,0.285704,0.0,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Dera,0.341812,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Nyaro,0.44043600000000005,0.0,0.0,0.0,0.0,0.0,0.19521500000000003
Lango,0.16399600000000003,0.0,0.0,0.0,0.14553500000000003,0.01170899999999997,0.0
PericleanAthens,0.144077,0.167885,0.13528,0.0,0.0,0.01170899999999997,0.0
Miyakans,0.06326,0.0,0.0,0.0,0.0,0.0,0.0
Aimol,0.22778200000000004,0.0,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Cambodians,0.13082700000000003,0.0,0.0,0.0,0.0,0.0,0.0
Selung,0.026165000000000008,0.167885,0.0,0.0,0.0,0.0,0.0
Iban,0.13082700000000003,0.0,0.0,0.0,0.0,0.0,0.0
Javanese,0.12771900000000003,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Belu,0.22522600000000004,0.0,0.0,0.0,0.14553500000000003,0.05776199999999998,0.19521500000000003
Mailu,0.22522600000000004,0.0,0.0,0.0,0.14553500000000003,0.05776199999999998,0.19521500000000003
Miriam,0.341812,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Kaoka,0.37822700000000004,0.167126,0.0,0.0,0.0,0.05776199999999998,0.0
Patwin,0.06733200000000002,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Micmac,0.026165000000000008,0.167885,0.0,0.0,0.0,0.0,0.0
Isleta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuna,0.11253700000000001,0.167885,0.0,0.0,0.0,0.5,0.0
Curipaco,0.031990000000000005,0.0,0.0,0.0,0.0,0.0,0.0
Guahibo,0.038457000000000005,0.167885,0.0,0.0,0.0,0.0,0.0
Jivaro,0.30066600000000004,0.167885,0.0,0.0,0.0,0.563616,0.19521500000000003
Umotina,0.259697,0.0,0.0,0.0,0.0,0.0,0.0
Giriama,0.231421,0.0,0.0,0.0,0.0,0.0,0.0
Haya,0.13618400000000003,0.129838,0.0,0.0,0.0,0.01170899999999997,0.0
Ngbandi,0.160165,0.015234000000000001,0.0,0.0,0.14553500000000003,0.01170899999999997,0.0
Nuer,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Teda,0.057495000000000004,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
SemlalShluh,0.064932,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Egyptians,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
AncientHebrews,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Icelanders,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Kashmiri,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Semang,0.12512099999999998,0.0,0.0,0.0,0.0,0.0,0.0
Vietnamese,0.057906,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Bisayan,0.347994,0.114512,0.0,0.0,0.0,0.0,0.0
Rotinese,0.065348,0.0,0.0,0.0,0.0,0.5,0.0
Keraki,0.07579500000000002,0.015234000000000001,0.0,0.0,0.0,0.0,0.0
Kurtatchi,0.339088,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
OntongJava,0.339088,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Ellice,0.339088,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Nunivak,0.057495000000000004,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Tlingit,0.16100600000000004,0.0,0.0,0.0,0.14553500000000003,0.5,0.0
Alkatcho,0.024870000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Wiyot,0.25592200000000004,0.167885,0.0,0.0,0.0,0.0,0.0
Chiricahua,0.09292399999999999,0.0,0.0,0.964078,0.0,0.01170899999999997,0.0
Cakchiquel,0.11692500000000002,0.167885,0.0,0.964078,0.0,0.5,0.0
Chibcha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cagaba,0.06671700000000001,0.0,0.0,0.0,0.0,0.247073,0.0
Sherente,0.281488,0.0,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
KgatlaTswana,0.008890000000000009,0.015234000000000001,0.0,0.0,0.0,0.063616,0.0
Dzing,0.05104900000000001,0.0,0.0,0.964078,0.0,0.05776199999999998,0.0
Amba,0.376217,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Akyem,0.408274,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Djafun,0.146744,0.129838,0.0,0.0,0.0,0.0,0.0
Songhai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lobi,0.084702,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Tallensi,0.060143,0.015234000000000001,0.0,0.0,0.14553500000000003,0.063616,0.0
Katab,0.370417,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Lafofa,0.370417,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Mesakin,0.376217,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Lepcha,0.019072000000000006,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Siamese,0.037759000000000015,0.0,0.0,0.0,0.0,0.0,0.0
Marindamin,0.20222500000000002,0.114512,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Nauruans,0.330878,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
CaribouEskimo,0.06176200000000001,0.0,0.0,0.0,0.0,0.252927,0.0
Haida,0.07134500000000002,0.0,0.0,0.0,0.14553500000000003,0.5,0.0
Deleware,0.035635,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Huichol,0.079519,0.0,0.5676399999999999,1.0,0.0,0.05776199999999998,0.0
Saramacca,0.17454100000000003,0.167885,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Shavante,0.12097300000000002,0.0,0.0,0.0,0.0,0.0,0.0
Swazi,0.29474300000000003,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Ambo,0.415734,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Bena,0.292627,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Nyamwezi,0.125824,0.129838,0.0,0.0,0.0,0.063616,0.0
Shambala,0.13396599999999997,0.0,0.0,0.0,0.0,0.718192,0.0
Ganda,0.13618400000000003,0.129838,0.0,0.0,0.0,0.01170899999999997,0.0
Nyoro,0.18769400000000003,0.129838,0.0,0.0,0.0,0.563616,0.0
Daka,0.165362,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Ingassana,0.29474300000000003,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Bari,0.415734,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Kafa,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Sindhi,0.10906400000000001,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Coorg,0.045528,0.0,0.0,0.0,0.0,0.0,0.0
Dard,0.15481,0.0,0.0,0.0,0.0,0.01170899999999997,0.0
Buryat,0.057495000000000004,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Khalka,0.05723,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Khasi,0.010258000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Minangkabau,0.345571,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Kutubu,0.18769400000000003,0.129838,0.0,0.0,0.0,0.563616,0.0
Siane,0.345571,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Dobuans,0.377628,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Tikopia,0.345571,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
VanuaLevu,0.25749,0.129838,0.0,0.0,0.0,0.063616,0.0
Sarsi,0.119875,0.0,0.0,0.964078,0.14553500000000003,0.0,0.0
Tanaina,0.09751800000000001,0.129838,0.0,0.0,0.0,0.0,0.0
Maidu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attawapiskat,0.113135,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Malecite,0.113135,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Penobscot,0.113135,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Pawnee,0.339771,0.129838,0.0,0.0,0.0,0.563616,0.19521500000000003
Tzeltal,0.11611800000000001,0.0,0.0,0.964078,0.0,0.05776199999999998,0.0
BlackCarib,0.054131,0.0,0.0,0.0,0.0,0.0,0.0
Goajiro,0.13717000000000001,0.167885,0.0,0.0,0.0,0.0,0.19521500000000003
Shiriana,0.29474300000000003,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Cubeo,0.11267,0.167885,0.0,0.0,0.14553500000000003,0.0,0.0
Caraja,0.077607,0.0,0.0,0.0,0.0,0.0,0.0
Terena,0.126506,0.129838,0.0,0.0,0.0,0.063616,0.0
Venda,0.130324,0.129838,0.0,0.0,0.0,0.063616,0.0
Chewa,0.20198699999999997,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Shila,0.263857,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Fipa,0.263857,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Teita,0.409192,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Rega,0.134525,0.015234000000000001,0.0,0.0,0.0,0.0,0.0
Ndoro,0.307451,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Bisa,0.052351999999999996,0.0,0.0,0.0,0.0,0.0,0.0
Karekare,0.11326599999999999,0.0,0.0,0.0,0.14553500000000003,0.05776199999999998,0.0
Hona,0.42987499999999995,0.129838,0.0,0.964078,0.0,0.0,0.19521500000000003
Kipsigis,0.377735,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Turkana,0.228325,0.129838,0.0,1.0,0.0,0.01170899999999997,0.19521500000000003
Amhara,0.08361600000000001,0.0,0.0,0.0,0.0,0.218192,0.0
Bhilala,0.0,0.015234000000000001,0.0,0.0,0.0,0.0,0.0
Batak,0.130324,0.129838,0.0,0.0,0.0,0.063616,0.0
Tanimbarese,0.345251,0.114512,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Orokaiva,0.277742,0.129838,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Yapese,0.307451,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Majuro,0.23988500000000001,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Choiseulese,0.307451,0.129838,0.0,0.0,0.0,0.0,0.19521500000000003
Ulawans,0.301773,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Tongans,0.314685,0.129838,0.0,0.0,0.14553500000000003,0.563616,0.19521500000000003
Mangarevans,0.13979999999999998,0.0,0.0,0.0,0.0,0.5,0.0
Kutchin,0.021209000000000006,0.0,0.0,1.0,0.0,0.0,0.0
Atsugewi,0.113548,0.0,0.0,0.964078,0.0,0.563616,0.0
WesternApache,0.13655299999999998,0.0,0.0,0.0,0.0,0.718192,0.0
Cayapa,0.082249,0.0,0.0,0.0,0.0,0.05776199999999998,0.0
Paez,0.08599,0.0,0.0,0.0,0.0,0.252927,0.0
Waiwai,0.21234999999999998,0.167885,0.0,0.0,0.14553500000000003,0.5,0.19521500000000003
Siriono,0.383356,0.114512,0.0,0.0,0.14553500000000003,0.0,0.19521500000000003
Guato,0.256745,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Tupinamba,0.142745,0.0,0.0,0.964078,0.0,0.0,0.0
Pondo,0.115893,0.129838,0.0,0.0,0.0,0.0,0.0
Thonga,0.22075899999999998,0.129838,0.0,0.0,0.0,0.0,0.0
Pende,0.284178,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Nyakyusa,0.284178,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Mbugwe,0.388636,0.129838,0.0,0.0,0.0,0.0,0.0
Bajun,0.298832,0.0,0.0,0.0,0.020848,0.0,0.02283
NkundoMongo,0.284178,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Fur,0.229699,0.0,0.0,0.0,0.0,0.5,0.19521500000000003
Lapps,0.160217,0.015234000000000001,0.0,0.964078,0.0,0.01170899999999997,0.0
Minchia,0.0,0.167885,0.0,0.0,0.0,0.0,0.0
Abelam,0.22529,0.129838,0.0,0.0,0.14553500000000003,0.5,0.19521500000000003
Kapauku,0.316235,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Samarokena,0.06728799999999999,0.0,0.06101899999999999,0.0,0.0,0.05776199999999998,0.0
Ifuluk,0.288056,0.129838,0.0,0.0,0.0,0.01170899999999997,0.19521500000000003
Bakovi,0.320797,0.176759,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Lesu,0.375932,0.114512,0.0,0.0,0.14553500000000003,0.563616,0.19521500000000003
Trobriands,0.316235,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Mota,0.316235,0.129838,0.0,0.0,0.14553500000000003,0.063616,0.19521500000000003
Efate,0.24302800000000002,0.129838,0.0,0.0,0.14553500000000003,0.01170899999999997,0.19521500000000003
Epi,0.377423,0.129838,0.0,0.0,0.14553500000000003,1.0,0.19521500000000003
Tokelau,0.345366,0.129838,0.0,0.0,0.14553500000000003,0.563616,0.19521500000000003
Marquesans,0.22219300000000003,0.129838,0.0,0.0,0.0,0.01170899999999997,0.0
Shasta,0.090805,0.0,0.0,0.964078,0.0,0.563616,0.0
Sinkaitk,0.024805,0.0,0.0,0.964078,0.0,0.0,0.0
