name,dev_full,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19
SaraAinu,0.07016299999999998,0.0,0.0,0.0,0.0,0.0,0.0
Bunun,0.108271,0.0,0.0,0.0,0.0,0.0,0.0
Malays,0.130226,0.0,0.0,0.0,0.0,0.0,0.0
OyoYoruba,0.17807199999999995,0.0,0.0,0.0,0.0,0.0,0.0
Punan,0.04939499999999997,0.0,0.0,0.0,0.0,0.0,0.0
Huave,0.17807199999999995,0.0,0.0,0.0,0.0,0.0,0.0
Andamanese,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Toradja,0.09798499999999999,0.0,0.0,0.0,0.0,0.0,0.0
Alorese,0.06881599999999999,0.0,0.0,0.0,0.0,0.0,0.0
Kapingamarangi,0.466357,0.0,0.0,0.0,0.0,0.0,0.0
Bellacoola,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Quinault,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Chorti,0.020971000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Mende,0.210867,0.0,0.0,0.0,0.0,0.0,0.0
Maguzawa,0.14164800000000002,0.0,0.0,0.0,0.0,0.0,0.0
Yami,0.030833000000000027,0.0,0.0,0.0,0.0,0.0,0.0
Luchazi,0.09547900000000001,0.0,0.0,0.0,0.0,0.0,0.0
Dilling,0.14767099999999997,0.0,0.0,0.0,0.0,0.0,0.0
Ami,0.225509,0.0,0.0,0.0,0.0,0.0,0.0
Taqagmiut,0.14767099999999997,0.0,0.0,0.0,0.0,0.0,0.0
Aweikoma,0.540286,0.0,0.0,0.0,0.0,0.0,0.0
WodaabeFulani,0.136571,0.0,0.0,0.0,0.0,0.0,0.0
Sivokakmeit,0.018175999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Jacaltec,0.17950500000000003,0.0,0.0,0.0,0.0,0.0,0.0
Efik,0.188915,0.0,0.0,0.0,0.0,0.0,0.0
Taos,0.0030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0
Miyakans,0.06326,0.0,0.0,0.0,0.0,0.0,0.0
Cambodians,0.13082700000000003,0.0,0.0,0.0,0.0,0.0,0.0
Iban,0.13082700000000003,0.0,0.0,0.0,0.0,0.0,0.0
Curipaco,0.031990000000000005,0.0,0.0,0.0,0.0,0.0,0.0
Umotina,0.259697,0.0,0.0,0.0,0.0,0.0,0.0
Giriama,0.231421,0.0,0.0,0.0,0.0,0.0,0.0
Semang,0.12512099999999998,0.0,0.0,0.0,0.0,0.0,0.0
Alkatcho,0.024870000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Siamese,0.037759000000000015,0.0,0.0,0.0,0.0,0.0,0.0
Shavante,0.12097300000000002,0.0,0.0,0.0,0.0,0.0,0.0
Coorg,0.045528,0.0,0.0,0.0,0.0,0.0,0.0
Khasi,0.010258000000000003,0.0,0.0,0.0,0.0,0.0,0.0
BlackCarib,0.054131,0.0,0.0,0.0,0.0,0.0,0.0
Caraja,0.077607,0.0,0.0,0.0,0.0,0.0,0.0
Bisa,0.052351999999999996,0.0,0.0,0.0,0.0,0.0,0.0
Bachama,0.038666,0.0,0.0,0.0,0.0,0.0,0.0
Klallam,0.207894,0.0,0.0,0.0,0.0,0.0,0.0
Tolowa,0.010927,0.0,0.0,0.0,0.0,0.0,0.0
Konkomba,0.09467899999999999,0.0,0.0,0.0,0.0,0.0,0.0
HillBhuiya,0.032660999999999996,0.0,0.0,0.0,0.0,0.0,0.0
Sherpa,0.05026699999999999,0.0,0.0,0.0,0.0,0.0,0.0
PolarEskimo,0.060379,0.0,0.0,0.0,0.0,0.0,0.0
Dogon,0.008343000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Sinhalese,0.008885000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Chippewa,0.093357,0.0,0.0,0.0,0.0,0.0,0.0
Chakma,0.13723800000000003,0.0,0.0,0.0,0.0,0.0,0.0
Lolo,0.009702000000000002,0.0,0.0,0.0,0.0,0.0,0.0
Uru,0.022546000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Vedda,0.317384,0.0,0.0,0.0,0.0,0.0,0.0
MariaGond,0.0014910000000000027,0.0,0.0,0.0,0.0,0.0,0.0
Macusi,0.065878,0.0,0.0,0.0,0.0,0.0,0.0
