complexity,cost,feature_complexity,feature_cost,freqs
14.0,0.0,8,0.0,310.0
12.0,0.24102,7,0.048203938240411456,109.0
14.0,0.305556,7,0.061111111111111116,32.0
13.0,0.24102,7,0.09640787648082291,31.0
13.0,0.626701,6,0.14136533283889868,20.0
13.0,0.24102,7,0.0964078764808229,12.0
11.0,0.482039,6,0.19281575296164583,3.0
13.0,0.194444,7,0.03888888888888889,2.0
11.0,0.5,6,0.1,2.0
13.0,0.538051,6,0.12812766192931851,2.0
12.0,0.24102,7,0.048203938240411456,2.0
10.0,0.482039,6,0.09640787648082291,2.0
13.0,0.626701,6,0.14136533283889866,1.0
13.0,0.359502,6,0.1281276619293185,1.0
9.0,0.982039,5,0.19640787648082292,1.0
12.0,0.0,7,0.0,1.0
12.0,0.24102,6,0.09640787648082291,1.0
11.0,0.194444,6,0.03888888888888889,1.0
11.0,0.24102,6,0.048203938240411456,1.0
12.0,0.359502,5,0.1281276619293185,1.0
14.0,0.0,7,0.0,
12.0,0.305556,6,0.061111111111111116,
12.0,0.24102,6,0.0964078764808229,
12.0,0.24102,6,0.048203938240411456,
12.0,0.626701,5,0.14136533283889866,
13.0,0.24102,6,0.048203938240411456,
11.0,0.482039,5,0.09640787648082291,
13.0,0.0,7,0.0,
12.0,0.24102,6,0.048203938240411456,
12.0,0.24102,6,0.0964078764808229,
13.0,0.194444,6,0.03888888888888889,
13.0,0.538051,5,0.12812766192931851,
13.0,0.305556,6,0.061111111111111116,
12.0,0.5,5,0.1,
15.0,0.24102,6,0.09640787648082291,
13.0,0.482039,5,0.19281575296164583,
13.0,0.626701,5,0.14136533283889868,
12.0,0.0,7,0.0,
11.0,0.24102,6,0.048203938240411456,
12.0,0.305556,6,0.061111111111111116,
11.0,0.24102,6,0.09640787648082291,
12.0,0.626701,5,0.14136533283889868,
12.0,0.24102,6,0.0964078764808229,
12.0,0.482039,5,0.19281575296164583,
14.0,0.194444,6,0.03888888888888889,
14.0,0.5,5,0.1,
12.0,0.538051,5,0.12812766192931851,
13.0,0.24102,6,0.048203938240411456,
12.0,0.482039,5,0.09640787648082291,
13.0,0.626701,5,0.14136533283889866,
14.0,0.538051,5,0.1281276619293185,
11.0,0.982039,4,0.19640787648082292,
14.0,0.0,7,0.0,
12.0,0.24102,6,0.09640787648082291,
12.0,0.194444,6,0.03888888888888889,
12.0,0.24102,6,0.048203938240411456,
12.0,0.359502,5,0.1281276619293185,
11.0,0.0,6,0.0,
9.0,0.24102,5,0.048203938240411456,
12.0,0.0,6,0.0,
11.0,0.194444,5,0.03888888888888889,
13.0,0.24102,5,0.09640787648082291,
12.0,0.0,6,0.0,
10.0,0.24102,5,0.09640787648082291,
14.0,0.194444,5,0.03888888888888889,
13.0,0.24102,5,0.048203938240411456,
13.0,0.538051,4,0.1281276619293185,
12.0,0.0,7,0.0,
11.0,0.305556,6,0.061111111111111116,
12.0,0.24102,6,0.0964078764808229,
11.0,0.24102,6,0.048203938240411456,
12.0,0.626701,5,0.14136533283889866,
10.0,0.0,6,0.0,
9.0,0.24102,5,0.048203938240411456,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.0964078764808229,
11.0,0.305556,5,0.061111111111111116,
11.0,0.0,6,0.0,
10.0,0.305556,5,0.061111111111111116,
11.0,0.24102,5,0.0964078764808229,
12.0,0.24102,5,0.048203938240411456,
11.0,0.626701,4,0.14136533283889866,
13.0,0.24102,6,0.048203938240411456,
11.0,0.482039,5,0.09640787648082291,
11.0,0.24102,5,0.048203938240411456,
12.0,0.24102,5,0.048203938240411456,
12.0,0.482039,4,0.09640787648082291,
11.0,0.0,7,0.0,
10.0,0.24102,6,0.048203938240411456,
11.0,0.24102,6,0.0964078764808229,
11.0,0.194444,6,0.03888888888888889,
12.0,0.538051,5,0.12812766192931851,
10.0,0.0,6,0.0,
10.0,0.194444,5,0.03888888888888889,
12.0,0.0,6,0.0,
10.0,0.24102,5,0.0964078764808229,
11.0,0.24102,5,0.048203938240411456,
10.0,0.0,6,0.0,
9.0,0.24102,5,0.048203938240411456,
11.0,0.24102,5,0.0964078764808229,
13.0,0.194444,5,0.03888888888888889,
10.0,0.538051,4,0.12812766192931851,
14.0,0.305556,6,0.061111111111111116,
14.0,0.5,5,0.1,
14.0,0.305556,5,0.061111111111111116,
13.0,0.305556,5,0.061111111111111116,
11.0,0.5,4,0.1,
12.0,0.24102,6,0.09640787648082291,
12.0,0.482039,5,0.19281575296164583,
11.0,0.24102,5,0.09640787648082291,
11.0,0.24102,5,0.09640787648082291,
9.0,0.482039,4,0.19281575296164583,
11.0,0.626701,5,0.14136533283889868,
10.0,0.626701,4,0.14136533283889868,
13.0,0.0,7,0.0,
12.0,0.24102,6,0.048203938240411456,
12.0,0.305556,6,0.061111111111111116,
11.0,0.24102,6,0.09640787648082291,
12.0,0.626701,5,0.14136533283889868,
12.0,0.0,6,0.0,
10.0,0.24102,5,0.09640787648082291,
13.0,0.0,6,0.0,
11.0,0.305556,5,0.061111111111111116,
12.0,0.24102,5,0.048203938240411456,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.048203938240411456,
12.0,0.305556,5,0.061111111111111116,
13.0,0.24102,5,0.09640787648082291,
11.0,0.626701,4,0.14136533283889868,
14.0,0.24102,6,0.0964078764808229,
13.0,0.482039,5,0.19281575296164583,
14.0,0.24102,5,0.0964078764808229,
13.0,0.24102,5,0.0964078764808229,
13.0,0.482039,4,0.19281575296164583,
13.0,0.194444,6,0.03888888888888889,
12.0,0.5,5,0.1,
11.0,0.194444,5,0.03888888888888889,
12.0,0.194444,5,0.03888888888888889,
9.0,0.5,4,0.1,
13.0,0.538051,5,0.12812766192931851,
11.0,0.538051,4,0.12812766192931851,
12.0,0.24102,6,0.048203938240411456,
11.0,0.482039,5,0.09640787648082291,
11.0,0.24102,5,0.048203938240411456,
13.0,0.24102,5,0.048203938240411456,
12.0,0.482039,4,0.09640787648082291,
14.0,0.626701,5,0.14136533283889866,
13.0,0.626701,4,0.14136533283889866,
13.0,0.538051,5,0.1281276619293185,
11.0,0.538051,4,0.1281276619293185,
11.0,0.982039,4,0.19640787648082292,
12.0,0.24102,7,0.048203938240411456,
10.0,0.482039,6,0.09640787648082291,
11.0,0.546576,6,0.10931504935152257,
11.0,0.482039,6,0.14461181472123436,
11.0,0.867721,5,0.18956927107931015,
11.0,0.482039,6,0.14461181472123436,
9.0,0.723059,5,0.2410196912020573,
12.0,0.435464,6,0.08709282712930035,
9.0,0.74102,5,0.14820393824041145,
11.0,0.77907,5,0.17633160016972999,
10.0,0.482039,6,0.09640787648082291,
8.0,0.723059,5,0.14461181472123436,
11.0,0.867721,5,0.1895692710793101,
11.0,0.600522,5,0.17633160016972993,
7.0,1.223059,4,0.2446118147212344,
13.0,0.24102,6,0.048203938240411456,
11.0,0.482039,5,0.14461181472123436,
12.0,0.435464,5,0.08709282712930035,
11.0,0.482039,5,0.09640787648082291,
11.0,0.600522,4,0.17633160016972993,
13.0,0.24102,6,0.048203938240411456,
11.0,0.546576,5,0.10931504935152257,
12.0,0.482039,5,0.14461181472123436,
11.0,0.482039,5,0.09640787648082291,
11.0,0.867721,4,0.1895692710793101,
9.0,0.482039,5,0.09640787648082291,
7.0,0.723059,4,0.14461181472123436,
12.0,0.24102,6,0.048203938240411456,
11.0,0.482039,5,0.09640787648082291,
12.0,0.482039,5,0.14461181472123436,
12.0,0.435464,5,0.08709282712930035,
12.0,0.77907,4,0.17633160016972999,
14.0,0.546576,5,0.10931504935152257,
12.0,0.74102,4,0.14820393824041145,
12.0,0.482039,5,0.14461181472123436,
10.0,0.723059,4,0.2410196912020573,
9.0,0.867721,4,0.18956927107931015,
13.0,0.24102,6,0.048203938240411456,
12.0,0.482039,5,0.09640787648082291,
13.0,0.546576,5,0.10931504935152257,
12.0,0.482039,5,0.14461181472123436,
12.0,0.867721,4,0.18956927107931015,
12.0,0.482039,5,0.14461181472123436,
10.0,0.723059,4,0.2410196912020573,
14.0,0.435464,5,0.08709282712930035,
12.0,0.74102,4,0.14820393824041145,
12.0,0.77907,4,0.17633160016972999,
9.0,0.482039,5,0.09640787648082291,
8.0,0.723059,4,0.14461181472123436,
12.0,0.867721,4,0.1895692710793101,
12.0,0.77907,4,0.17633160016972993,
7.0,1.223059,3,0.2446118147212344,
13.0,0.0,7,0.0,
12.0,0.24102,6,0.09640787648082291,
12.0,0.194444,6,0.03888888888888889,
12.0,0.24102,6,0.048203938240411456,
13.0,0.359502,5,0.1281276619293185,
12.0,0.0,6,0.0,
11.0,0.24102,5,0.048203938240411456,
11.0,0.0,6,0.0,
12.0,0.194444,5,0.03888888888888889,
13.0,0.24102,5,0.09640787648082291,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.09640787648082291,
14.0,0.194444,5,0.03888888888888889,
12.0,0.24102,5,0.048203938240411456,
14.0,0.538051,4,0.1281276619293185,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.048203938240411456,
9.0,0.0,5,0.0,
10.0,0.0,5,0.0,
10.0,0.24102,4,0.048203938240411456,
11.0,0.0,6,0.0,
12.0,0.194444,5,0.03888888888888889,
10.0,0.0,5,0.0,
9.0,0.0,5,0.0,
12.0,0.194444,4,0.03888888888888889,
12.0,0.24102,5,0.09640787648082291,
10.0,0.24102,4,0.09640787648082291,
12.0,0.0,6,0.0,
12.0,0.24102,5,0.09640787648082291,
12.0,0.0,5,0.0,
10.0,0.0,5,0.0,
12.0,0.24102,4,0.09640787648082291,
13.0,0.194444,5,0.03888888888888889,
11.0,0.194444,4,0.03888888888888889,
12.0,0.24102,5,0.048203938240411456,
11.0,0.24102,4,0.048203938240411456,
12.0,0.538051,4,0.1281276619293185,
12.0,0.24102,6,0.048203938240411456,
10.0,0.482039,5,0.14461181472123436,
11.0,0.435464,5,0.08709282712930035,
10.0,0.482039,5,0.09640787648082291,
11.0,0.600522,4,0.17633160016972993,
12.0,0.24102,5,0.048203938240411456,
11.0,0.482039,4,0.09640787648082291,
12.0,0.24102,5,0.048203938240411456,
12.0,0.435464,4,0.08709282712930035,
10.0,0.482039,4,0.14461181472123436,
12.0,0.24102,5,0.048203938240411456,
11.0,0.482039,4,0.14461181472123436,
14.0,0.435464,4,0.08709282712930035,
8.0,0.482039,4,0.09640787648082291,
10.0,0.77907,3,0.17633160016972993,
12.0,0.0,7,0.0,
12.0,0.305556,6,0.061111111111111116,
11.0,0.24102,6,0.0964078764808229,
11.0,0.24102,6,0.048203938240411456,
12.0,0.626701,5,0.14136533283889866,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.048203938240411456,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.0964078764808229,
12.0,0.305556,5,0.061111111111111116,
10.0,0.0,6,0.0,
11.0,0.305556,5,0.061111111111111116,
11.0,0.24102,5,0.0964078764808229,
11.0,0.24102,5,0.048203938240411456,
12.0,0.626701,4,0.14136533283889866,
12.0,0.0,6,0.0,
11.0,0.24102,5,0.048203938240411456,
10.0,0.0,5,0.0,
11.0,0.0,5,0.0,
11.0,0.24102,4,0.048203938240411456,
10.0,0.0,6,0.0,
9.0,0.24102,5,0.0964078764808229,
9.0,0.0,5,0.0,
8.0,0.0,5,0.0,
9.0,0.24102,4,0.0964078764808229,
13.0,0.305556,5,0.061111111111111116,
11.0,0.305556,4,0.061111111111111116,
11.0,0.0,6,0.0,
12.0,0.305556,5,0.061111111111111116,
11.0,0.0,5,0.0,
9.0,0.0,5,0.0,
11.0,0.305556,4,0.061111111111111116,
13.0,0.24102,5,0.0964078764808229,
11.0,0.24102,4,0.0964078764808229,
11.0,0.24102,5,0.048203938240411456,
10.0,0.24102,4,0.048203938240411456,
13.0,0.626701,4,0.14136533283889866,
11.0,0.24102,6,0.048203938240411456,
10.0,0.546576,5,0.10931504935152257,
10.0,0.482039,5,0.14461181472123436,
9.0,0.482039,5,0.09640787648082291,
10.0,0.867721,4,0.1895692710793101,
12.0,0.24102,5,0.048203938240411456,
11.0,0.482039,4,0.09640787648082291,
11.0,0.24102,5,0.048203938240411456,
10.0,0.482039,4,0.14461181472123436,
12.0,0.546576,4,0.10931504935152257,
11.0,0.24102,5,0.048203938240411456,
11.0,0.546576,4,0.10931504935152257,
11.0,0.482039,4,0.14461181472123436,
7.0,0.482039,4,0.09640787648082291,
10.0,0.867721,3,0.1895692710793101,
12.0,0.24102,6,0.048203938240411456,
12.0,0.482039,5,0.09640787648082291,
12.0,0.24102,5,0.048203938240411456,
11.0,0.24102,5,0.048203938240411456,
10.0,0.482039,4,0.09640787648082291,
11.0,0.24102,5,0.048203938240411456,
9.0,0.24102,4,0.048203938240411456,
12.0,0.24102,5,0.048203938240411456,
10.0,0.24102,4,0.048203938240411456,
12.0,0.482039,4,0.09640787648082291,
11.0,0.482039,5,0.09640787648082291,
10.0,0.723059,4,0.14461181472123436,
9.0,0.482039,4,0.09640787648082291,
12.0,0.482039,4,0.09640787648082291,
8.0,0.723059,3,0.14461181472123436,
12.0,0.0,7,0.0,
11.0,0.24102,6,0.048203938240411456,
12.0,0.24102,6,0.0964078764808229,
12.0,0.194444,6,0.03888888888888889,
12.0,0.538051,5,0.12812766192931851,
10.0,0.0,6,0.0,
10.0,0.194444,5,0.03888888888888889,
12.0,0.0,6,0.0,
11.0,0.24102,5,0.0964078764808229,
11.0,0.24102,5,0.048203938240411456,
11.0,0.0,6,0.0,
10.0,0.24102,5,0.048203938240411456,
12.0,0.24102,5,0.0964078764808229,
13.0,0.194444,5,0.03888888888888889,
11.0,0.538051,4,0.12812766192931851,
12.0,0.0,6,0.0,
11.0,0.194444,5,0.03888888888888889,
9.0,0.0,5,0.0,
11.0,0.0,5,0.0,
12.0,0.194444,4,0.03888888888888889,
10.0,0.0,6,0.0,
10.0,0.24102,5,0.0964078764808229,
8.0,0.0,5,0.0,
9.0,0.0,5,0.0,
