complexity,cost,feature_complexity,feature_cost,freqs
3.0,1.0,2,0.25,331
1.0,1.986758,1,0.41445976333898116,100
6.0,0.0,8,0.08333333333333334,83
5.0,0.43236,5,0.15539345711759506,11
4.0,0.986758,2,0.2477930966723145,7
5.0,0.56764,5,0.1779398762157383,7
5.0,1.0,5,0.21396993810786916,4
5.0,0.493379,5,0.16556321500282392,4
3.0,1.986758,2,0.33112643000564784,2
7.0,1.0,8,0.16666666666666669,2
7.0,1.233628,9,0.29969094233827476,1
5.0,0.493379,5,0.16556321500282392,1
3.0,1.0,2,0.24889654833615726,1
5.0,1.0,5,0.20531125056358285,1
5.0,1.126155,5,0.30442843355520977,1
9.0,1.556456,7,0.35135782575351737,1
6.0,0.493379,5,0.2477930966723145,1
8.0,0.0,12,0.0653183023872679,1
10.0,0.0,16,0.04166666666666667,1
