complexity,cost,feature_complexity,feature_cost,freqs
16.0,0.0,9,0.0,136.0
15.0,0.00841,14,0.0,63.0
16.0,0.00841,14,0.0,61.0
16.0,0.019994,17,0.0,56.0
16.0,0.00841,14,0.0,50.0
13.0,0.01682,11,0.0,49.0
16.0,0.019994,14,0.0,48.0
15.0,0.00841,14,0.0,15.0
14.0,0.01682,11,0.0,12.0
16.0,0.019994,17,0.0,11.0
16.0,0.019994,14,0.0,8.0
12.0,0.03364,10,0.0,3.0
15.0,0.007663,14,0.0015324922671683982,3.0
14.0,0.016073,17,0.0015324922671683982,3.0
14.0,0.016073,15,0.0015324922671683982,2.0
15.0,0.027657,15,0.0015324922671683982,2.0
16.0,0.018822,14,0.0020823654965893604,1.0
15.0,0.027232,15,0.0020823654965893604,1.0
16.0,0.007663,16,0.0015324922671683982,1.0
14.0,0.016073,17,0.0015324922671683982,1.0
15.0,0.016073,17,0.0015324922671683982,1.0
15.0,0.027657,15,0.0015324922671683982,1.0
16.0,0.018822,14,0.0020823654965893604,1.0
14.0,0.027232,15,0.0020823654965893604,
16.0,0.018822,23,0.0020823654965893604,
15.0,0.027232,21,0.0020823654965893604,
16.0,0.03217,20,0.002434987314493744,
15.0,0.047119,19,0.002695544270070782,
15.0,0.007008,14,0.0,
12.0,0.015418,11,0.0,
14.0,0.015418,17,0.0,
14.0,0.027002,15,0.0,
14.0,0.015418,15,0.0,
12.0,0.023828,12,0.0,
14.0,0.027002,15,0.0,
14.0,0.015418,15,0.0,
11.0,0.023828,12,0.0,
15.0,0.027002,15,0.0,
15.0,0.027002,15,0.0,
11.0,0.040648,11,0.0,
16.0,0.01771,14,0.0021402864816817717,
15.0,0.02612,15,0.0021402864816817717,
15.0,0.02612,15,0.0021402864816817717,
16.0,0.037704,13,0.0021402864816817717,
15.0,0.007663,14,0.0015324922671683982,
14.0,0.015326,11,0.0030649845343367964,
14.0,0.016073,15,0.0015324922671683982,
14.0,0.015326,17,0.0030649845343367964,
15.0,0.026485,15,0.0036148577637577584,
14.0,0.016073,15,0.0015324922671683982,
13.0,0.023736,12,0.0030649845343367964,
15.0,0.027657,15,0.0015324922671683982,
15.0,0.026485,21,0.0036148577637577584,
15.0,0.039833,18,0.003967479581662142,
16.0,0.018822,14,0.0020823654965893604,
15.0,0.026485,15,0.003614857763757759,
15.0,0.027232,15,0.0020823654965893604,
16.0,0.037645,19,0.004164730993178721,
16.0,0.01183,14,0.0021402864816817717,
15.0,0.02024,15,0.0021402864816817717,
15.0,0.02024,15,0.0021402864816817717,
16.0,0.031824,13,0.0021402864816817717,
11.0,0.030744,9,0.0030649845343367972,
10.0,0.039154,10,0.0030649845343367972,
16.0,0.01771,23,0.0021402864816817717,
14.0,0.02612,21,0.0021402864816817717,
15.0,0.02612,21,0.0021402864816817717,
14.0,0.037704,19,0.0021402864816817717,
14.0,0.045453,19,0.003689979935918384,
16.0,0.007663,19,0.0015324922671683982,
14.0,0.015326,17,0.0030649845343367964,
15.0,0.016073,17,0.0015324922671683982,
13.0,0.015326,14,0.0030649845343367964,
14.0,0.026485,15,0.0036148577637577584,
14.0,0.016073,17,0.0015324922671683982,
12.0,0.023736,12,0.0030649845343367964,
15.0,0.026485,15,0.0036148577637577584,
15.0,0.027657,15,0.0015324922671683982,
16.0,0.01771,23,0.0021402864816817717,
14.0,0.02612,21,0.0021402864816817717,
15.0,0.02612,21,0.0021402864816817717,
14.0,0.037704,19,0.0021402864816817717,
16.0,0.018822,17,0.0020823654965893604,
15.0,0.026485,15,0.003614857763757759,
14.0,0.027232,15,0.0020823654965893604,
14.0,0.026485,15,0.003614857763757759,
12.0,0.037645,11,0.004164730993178721,
14.0,0.045453,19,0.003689979935918384,
16.0,0.018822,23,0.0020823654965893604,
15.0,0.026485,21,0.003614857763757759,
15.0,0.027232,21,0.0020823654965893604,
16.0,0.037645,19,0.004164730993178721,
12.0,0.030744,13,0.0030649845343367964,
11.0,0.039154,11,0.0030649845343367964,
16.0,0.03217,20,0.002434987314493744,
15.0,0.039833,18,0.003967479581662142,
15.0,0.047119,19,0.0026955442700707832,
11.0,0.061473,10,0.004164730993178721,
16.0,0.007663,16,0.0015324922671683982,
14.0,0.014671,17,0.0015324922671683982,
13.0,0.015326,12,0.0030649845343367964,
14.0,0.025373,21,0.0036727787488501696,
15.0,0.015326,19,0.0030649845343367964,
12.0,0.022989,14,0.004597476801505194,
15.0,0.025373,23,0.0036727787488501696,
14.0,0.016073,17,0.0015324922671683982,
13.0,0.023081,15,0.0015324922671683982,
14.0,0.026485,21,0.003614857763757759,
15.0,0.026485,23,0.003614857763757759,
11.0,0.038407,13,0.004597476801505194,
14.0,0.015326,17,0.0030649845343367964,
12.0,0.022989,13,0.004597476801505194,
13.0,0.023736,15,0.0030649845343367964,
13.0,0.034148,19,0.005147350030926157,
15.0,0.019493,15,0.00367277874885017,
14.0,0.027903,13,0.00367277874885017,
15.0,0.016073,17,0.0015324922671683982,
14.0,0.023081,15,0.0015324922671683982,
13.0,0.023736,13,0.0030649845343367964,
13.0,0.033783,19,0.0036727787488501696,
15.0,0.026485,17,0.003614857763757759,
12.0,0.034148,13,0.005147350030926156,
15.0,0.027657,15,0.0015324922671683982,
14.0,0.034665,13,0.0015324922671683982,
15.0,0.039833,20,0.003967479581662142,
16.0,0.007008,14,0.0,
14.0,0.015418,17,0.0,
13.0,0.015418,11,0.0,
14.0,0.027002,15,0.0,
15.0,0.015418,15,0.0,
12.0,0.023828,12,0.0,
15.0,0.027002,15,0.0,
15.0,0.015418,15,0.0,
13.0,0.023828,12,0.0,
14.0,0.027002,15,0.0,
15.0,0.027002,15,0.0,
11.0,0.040648,11,0.0,
14.0,0.014671,15,0.0015324922671683982,
12.0,0.023081,12,0.0015324922671683982,
13.0,0.023081,15,0.0015324922671683982,
13.0,0.034665,13,0.0015324922671683982,
15.0,0.02583,15,0.0020823654965893604,
14.0,0.03424,13,0.0020823654965893604,
15.0,0.014671,17,0.0015324922671683982,
14.0,0.023081,15,0.0015324922671683982,
13.0,0.023081,14,0.0015324922671683982,
13.0,0.034665,13,0.0015324922671683982,
15.0,0.02583,15,0.0020823654965893604,
12.0,0.03424,12,0.0020823654965893604,
15.0,0.02583,21,0.0020823654965893604,
