complexity,cost,feature_complexity,feature_cost,freqs
7.0,0.0,8,0.0,116
3.0,1.0,2,0.2,89
3.0,0.988291,2,0.197658220470684,49
5.0,0.494146,5,0.098829110235342,47
1.0,1.988291,1,0.39765822047068405,42
5.0,0.5,5,0.1,28
7.0,0.5,8,0.1,26
3.0,1.0,2,0.2,23
7.0,1.0,8,0.2,20
5.0,1.0,5,0.2,13
10.0,0.5,16,0.1,13
5.0,0.436384,5,0.08727678571428572,11
12.0,0.0,24,0.0,11
5.0,1.0,5,0.2,10
5.0,0.494146,5,0.098829110235342,9
9.0,0.718192,12,0.14363839285714286,6
8.0,0.5,13,0.1,3
9.0,0.5,12,0.1,3
9.0,0.0,12,0.0,3
7.0,0.718192,9,0.14363839285714286,2
9.0,0.247073,10,0.049414555117671,2
9.0,0.0,12,0.0,2
9.0,0.218192,12,0.04363839285714286,2
9.0,0.0,16,0.0,2
5.0,1.0,5,0.2,1
7.0,0.436384,9,0.08727678571428572,1
7.0,0.718192,9,0.14363839285714286,1
7.0,0.436384,8,0.08727678571428572,1
9.0,0.436384,12,0.08727678571428572,1
7.0,0.741218,9,0.14824366535301298,1
7.0,0.712338,8,0.14246750309248485,1
9.0,0.247073,10,0.049414555117671,1
10.0,0.247073,14,0.049414555117671,1
9.0,0.247073,10,0.049414555117671,1
12.0,0.465265,14,0.09305294797481387,1
7.0,0.563616,8,0.11272321428571429,1
7.0,0.5,9,0.1,1
7.0,0.5,9,0.1,1
10.0,0.5,10,0.1,1
10.0,0.5,14,0.1,1
9.0,0.0,12,0.0,1
