complexity,cost,feature_cost
14.0,0.0,0.0
12.0,0.24102,0.11698026853321608
14.0,0.305556,0.08693630869363086
13.0,0.24102,0.18555490870785996
13.0,0.626701,0.2656033153197047
13.0,0.24102,0.18555490870785996
11.0,0.482039,0.3711098174157199
13.0,0.194444,0.05532310553231055
11.0,0.5,0.1422594142259414
13.0,0.538051,0.25128255401535243
12.0,0.24102,0.11698026853321608
10.0,0.482039,0.23396053706643216
13.0,0.626701,0.2656033153197047
13.0,0.359502,0.2512825540153524
9.0,0.982039,0.37621995129237357
12.0,0.0,0.0351580660158066
12.0,0.24102,0.22071297472366655
11.0,0.194444,0.09048117154811715
11.0,0.24102,0.15213833454902267
12.0,0.359502,0.286440620031159
14.0,0.0,0.024979573256452465
12.0,0.305556,0.11191588195008333
12.0,0.24102,0.21053448196431243
12.0,0.24102,0.14195984178966856
12.0,0.626701,0.29058288857615716
13.0,0.24102,0.16615055983822632
11.0,0.482039,0.2831308283714424
13.0,0.0,0.0351580660158066
12.0,0.24102,0.15213833454902267
12.0,0.24102,0.22071297472366655
13.0,0.194444,0.09048117154811715
13.0,0.538051,0.28644062003115905
13.0,0.305556,0.1426605249265632
12.0,0.5,0.19798363045887374
15.0,0.24102,0.2347252000128702
13.0,0.482039,0.42028010872073013
13.0,0.626701,0.33108508938591164
12.0,0.0,0.024979573256452465
11.0,0.24102,0.14195984178966856
12.0,0.305556,0.11191588195008333
11.0,0.24102,0.21053448196431243
12.0,0.626701,0.29058288857615716
12.0,0.24102,0.2347252000128702
12.0,0.482039,0.42028010872073013
14.0,0.194444,0.09696518279510365
14.0,0.5,0.1839014914887345
12.0,0.538051,0.3114201932876115
13.0,0.24102,0.16615055983822632
12.0,0.482039,0.2831308283714424
13.0,0.626701,0.33108508938591164
14.0,0.538051,0.31142019328761145
11.0,0.982039,0.44988162760510053
14.0,0.0,0.030485209237744806
12.0,0.24102,0.21604011794560476
12.0,0.194444,0.08580831477005535
12.0,0.24102,0.1474654777709609
12.0,0.359502,0.28176776325309716
11.0,0.0,0.05546478249419727
9.0,0.24102,0.17244505102741337
12.0,0.0,0.0656432752535514
11.0,0.194444,0.12096638078586194
13.0,0.24102,0.265210409250615
12.0,0.0,0.05546478249419727
10.0,0.24102,0.24101969120205724
14.0,0.194444,0.12745039203284844
13.0,0.24102,0.19663576907597113
13.0,0.538051,0.3419054025253563
12.0,0.0,0.022373314737331472
11.0,0.305556,0.10930962343096234
12.0,0.24102,0.20792822344519143
11.0,0.24102,0.13935358327054756
12.0,0.626701,0.28797663005703616
10.0,0.0,0.05753138075313807
9.0,0.24102,0.17451164928635415
11.0,0.0,0.05753138075313807
10.0,0.24102,0.24308628946099803
11.0,0.305556,0.16503383966389468
11.0,0.0,0.04735288799378394
10.0,0.305556,0.1342891966874148
