complexity,cost,feature_cost
18.0,0.0,0.0
17.0,0.010424,0.0020847194499889117
17.0,0.0,0.0
19.0,0.010424,0.002871583779145776
17.0,0.0,0.0
14.0,0.0,0.0
19.0,0.010424,0.002871583779145776
17.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
19.0,0.010424,0.002871583779145776
19.0,0.010424,0.002871583779145776
13.0,0.020848,0.004169438899977823
17.0,0.010424,0.0020847194499889117
16.0,0.010424,0.0020847194499889117
16.0,0.020848,0.004169438899977823
18.0,0.020848,0.004956303229134687
17.0,0.0,0.0020847194499889117
16.0,0.010424,0.004169438899977823
16.0,0.0,0.0020847194499889117
18.0,0.010424,0.004956303229134687
18.0,0.010424,0.002871583779145776
15.0,0.010424,0.002871583779145776
19.0,0.010424,0.005743167558291552
18.0,0.020848,0.007827887008280464
17.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
16.0,0.010424,0.0020847194499889117
17.0,0.010424,0.004169438899977823
16.0,0.020848,0.004956303229134687
16.0,0.020848,0.004169438899977823
14.0,0.031272,0.0062541583499667345
18.0,0.020848,0.004956303229134687
19.0,0.020848,0.007827887008280464
17.0,0.010424,0.0020847194499889117
16.0,0.020848,0.004169438899977823
16.0,0.010424,0.0020847194499889117
18.0,0.020848,0.004956303229134687
16.0,0.010424,0.0020847194499889117
13.0,0.010424,0.0020847194499889117
18.0,0.020848,0.004956303229134687
16.0,0.020848,0.004169438899977823
14.0,0.031272,0.0062541583499667345
18.0,0.020848,0.004956303229134687
18.0,0.020848,0.004956303229134687
12.0,0.031272,0.0062541583499667345
14.0,0.041696,0.008338877799955647
13.0,0.05212,0.01042359724994456
20.0,0.010424,0.005743167558291552
19.0,0.020848,0.007827887008280464
19.0,0.010424,0.005743167558291552
19.0,0.020848,0.008614751337437328
17.0,0.0,0.0020847194499889117
17.0,0.010424,0.004169438899977823
16.0,0.0,0.0020847194499889117
15.0,0.0,0.004169438899977823
16.0,0.010424,0.004956303229134687
16.0,0.010424,0.004169438899977823
14.0,0.010424,0.0062541583499667345
18.0,0.010424,0.004956303229134687
18.0,0.010424,0.002871583779145776
16.0,0.020848,0.004956303229134687
15.0,0.010424,0.002871583779145776
16.0,0.010424,0.004956303229134687
13.0,0.020848,0.005743167558291552
20.0,0.010424,0.005743167558291552
19.0,0.020848,0.007827887008280464
19.0,0.010424,0.005743167558291552
19.0,0.020848,0.008614751337437328
19.0,0.010424,0.005743167558291552
18.0,0.020848,0.007827887008280464
19.0,0.020848,0.007827887008280464
14.0,0.020848,0.008338877799955647
13.0,0.031272,0.01042359724994456
12.0,0.05212,0.011997325908258288
17.0,0.0,0.0020847194499889117
16.0,0.010424,0.004169438899977823
16.0,0.0,0.004169438899977823
19.0,0.010424,0.007827887008280464
16.0,0.0,0.004169438899977823
14.0,0.0,0.0062541583499667345
19.0,0.010424,0.007827887008280464
16.0,0.010424,0.004169438899977823
15.0,0.020848,0.0062541583499667345
18.0,0.010424,0.007827887008280464
18.0,0.010424,0.007827887008280465
13.0,0.020848,0.01042359724994456
16.0,0.010424,0.004169438899977823
15.0,0.010424,0.0062541583499667345
15.0,0.020848,0.0062541583499667345
17.0,0.020848,0.009912606458269376
16.0,0.0,0.0020847194499889117
15.0,0.010424,0.004169438899977823
14.0,0.0,0.004169438899977823
17.0,0.010424,0.007827887008280464
16.0,0.010424,0.004956303229134687
14.0,0.010424,0.007041022679123599
18.0,0.010424,0.004956303229134687
17.0,0.020848,0.007041022679123599
19.0,0.010424,0.005743167558291552
18.0,0.020848,0.007827887008280464
18.0,0.010424,0.007827887008280464
17.0,0.020848,0.011486335116583105
18.0,0.010424,0.007827887008280464
16.0,0.010424,0.009912606458269375
19.0,0.020848,0.011486335116583105
18.0,0.020848,0.007827887008280464
16.0,0.031272,0.009912606458269375
18.0,0.020848,0.011486335116583105
19.0,0.020848,0.011486335116583105
14.0,0.031272,0.014082045358247199
17.0,0.0,0.0
16.0,0.010424,0.0020847194499889117
16.0,0.0,0.0
18.0,0.010424,0.002871583779145776
16.0,0.0,0.0
13.0,0.0,0.0
18.0,0.010424,0.002871583779145776
16.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
18.0,0.010424,0.002871583779145776
18.0,0.010424,0.002871583779145776
12.0,0.020848,0.004169438899977823
17.0,0.010424,0.0020847194499889117
15.0,0.010424,0.0020847194499889117
16.0,0.020848,0.004169438899977823
17.0,0.020848,0.004956303229134687
17.0,0.0,0.0020847194499889117
16.0,0.010424,0.004169438899977823
15.0,0.0,0.0020847194499889117
17.0,0.010424,0.004956303229134687
17.0,0.010424,0.002871583779145776
14.0,0.010424,0.002871583779145776
19.0,0.010424,0.005743167558291552
18.0,0.020848,0.007827887008280464
18.0,0.010424,0.002871583779145776
16.0,0.020848,0.004956303229134687
16.0,0.010424,0.002871583779145776
17.0,0.010424,0.004956303229134687
17.0,0.020848,0.005743167558291552
17.0,0.020848,0.004956303229134687
15.0,0.031272,0.007041022679123599
18.0,0.020848,0.005743167558291552
19.0,0.020848,0.008614751337437328
20.0,0.010424,0.002871583779145776
19.0,0.020848,0.004956303229134687
19.0,0.010424,0.002871583779145776
17.0,0.020848,0.005743167558291552
19.0,0.010424,0.002871583779145776
16.0,0.010424,0.002871583779145776
19.0,0.020848,0.005743167558291552
19.0,0.020848,0.004956303229134687
16.0,0.031272,0.007041022679123599
19.0,0.020848,0.005743167558291552
20.0,0.020848,0.005743167558291552
14.0,0.031272,0.007041022679123599
17.0,0.010424,0.0020847194499889117
16.0,0.020848,0.004169438899977823
16.0,0.010424,0.0020847194499889117
16.0,0.010424,0.004169438899977823
16.0,0.020848,0.004956303229134687
16.0,0.020848,0.004169438899977823
15.0,0.020848,0.0062541583499667345
18.0,0.020848,0.004956303229134687
16.0,0.020848,0.004169438899977823
14.0,0.031272,0.0062541583499667345
14.0,0.020848,0.004169438899977823
15.0,0.020848,0.0062541583499667345
14.0,0.031272,0.007041022679123599
16.0,0.020848,0.004169438899977823
15.0,0.031272,0.0062541583499667345
15.0,0.020848,0.004169438899977823
17.0,0.031272,0.007041022679123599
13.0,0.05212,0.01042359724994456
19.0,0.020848,0.007827887008280464
18.0,0.031272,0.009912606458269376
18.0,0.010424,0.002871583779145776
16.0,0.020848,0.004956303229134687
15.0,0.010424,0.002871583779145776
16.0,0.010424,0.004956303229134687
15.0,0.020848,0.005743167558291552
17.0,0.020848,0.004956303229134687
14.0,0.020848,0.004956303229134687
19.0,0.020848,0.008614751337437328
18.0,0.010424,0.002871583779145776
17.0,0.020848,0.004956303229134687
16.0,0.010424,0.002871583779145776
