complexity,cost,feature_cost
18.0,0.0,0.0
17.0,0.01522,0.0
17.0,0.0,0.007609860664523043
20.0,0.01522,0.012061343788982002
17.0,0.0,0.007609860664523043
16.0,0.0,0.015219721329046086
20.0,0.01522,0.012061343788982002
17.0,0.01522,0.0
16.0,0.03044,0.0
20.0,0.01522,0.00890296624891792
20.0,0.01522,0.00890296624891792
15.0,0.03044,0.015219721329046086
17.0,0.01522,0.0
17.0,0.01522,0.007609860664523043
16.0,0.03044,0.0
19.0,0.03044,0.00890296624891792
17.0,0.0,0.007609860664523043
16.0,0.01522,0.007609860664523043
17.0,0.0,0.015219721329046086
20.0,0.01522,0.019671204453505044
18.0,0.01522,0.012061343788982002
17.0,0.01522,0.019671204453505044
20.0,0.01522,0.00890296624891792
19.0,0.03044,0.00890296624891792
17.0,0.01522,0.0
15.0,0.03044,0.0
17.0,0.01522,0.007609860664523043
16.0,0.01522,0.007609860664523043
16.0,0.03044,0.012061343788982002
16.0,0.03044,0.0
14.0,0.04566,0.0
19.0,0.03044,0.00890296624891792
19.0,0.03044,0.00890296624891792
17.0,0.01522,0.0
16.0,0.03044,0.0
16.0,0.01522,0.007609860664523043
19.0,0.03044,0.012061343788982002
16.0,0.01522,0.007609860664523043
15.0,0.01522,0.015219721329046086
19.0,0.03044,0.012061343788982002
16.0,0.03044,0.0
15.0,0.04566,0.0
19.0,0.03044,0.00890296624891792
19.0,0.03044,0.00890296624891792
14.0,0.04566,0.015219721329046086
14.0,0.06088,0.0
13.0,0.0761,0.0
19.0,0.01522,0.012061343788982002
18.0,0.03044,0.012061343788982002
19.0,0.01522,0.019671204453505044
20.0,0.03044,0.024122687577964003
17.0,0.0,0.007609860664523043
16.0,0.01522,0.007609860664523043
17.0,0.0,0.015219721329046086
15.0,0.0,0.015219721329046086
16.0,0.01522,0.019671204453505044
16.0,0.01522,0.007609860664523043
14.0,0.01522,0.015219721329046086
20.0,0.01522,0.019671204453505044
18.0,0.01522,0.012061343788982002
16.0,0.03044,0.012061343788982002
17.0,0.01522,0.019671204453505044
16.0,0.01522,0.019671204453505044
15.0,0.03044,0.024122687577964003
19.0,0.01522,0.012061343788982002
18.0,0.03044,0.012061343788982002
19.0,0.01522,0.019671204453505044
20.0,0.03044,0.024122687577964003
20.0,0.01522,0.00890296624891792
19.0,0.03044,0.00890296624891792
19.0,0.03044,0.00890296624891792
14.0,0.03044,0.015219721329046086
13.0,0.04566,0.015219721329046086
14.0,0.0761,0.024122687577964003
17.0,0.0,0.007609860664523043
