complexity,cost,feature_cost,freqs
7.0,0.0,0.10640591315060055,116
3.0,1.0,0.4082229750538959,89
3.0,0.988291,0.5860938642774837,49
5.0,0.494146,0.3462498887140421,47
1.0,1.988291,0.8879109261807789,42
5.0,0.5,0.25606854815617697,28
7.0,0.5,0.2064587210713646,26
3.0,1.0,0.4069770791078246,23
7.0,1.0,0.3018170619032953,20
5.0,1.0,0.3573672520230122,13
10.0,0.5,0.15090853095164766,13
5.0,0.436384,0.23811402833384662,11
12.0,0.0,0.0,11
5.0,1.0,0.3514268889881077,10
5.0,0.494146,0.3462498887140421,9
9.0,0.718192,0.21676258854327068,6
8.0,0.5,0.20051835803646,3
9.0,0.5,0.1786836260115061,3
9.0,0.0,0.07641987177724494,3
7.0,0.718192,0.26637241562808306,2
9.0,0.247073,0.21302951747392204,2
9.0,0.0,0.07641987177724494,2
9.0,0.218192,0.12582614033833428,2
9.0,0.0,0.05555019011971693,2
5.0,1.0,0.34825089230718465,1
7.0,0.436384,0.208127986960491,1
7.0,0.718192,0.27231277866298764,1
7.0,0.436384,0.19168019792995733,1
9.0,0.436384,0.1616941565566017,1
7.0,0.741218,0.4129689199204626,1
7.0,0.712338,0.37431775073989537,1
9.0,0.247073,0.20092037233428472,1
10.0,0.247073,0.1709343309609291,1
9.0,0.247073,0.2074348031494364,1
12.0,0.465265,0.22008590416575918,1
7.0,0.563616,0.21654277712393855,1
7.0,0.5,0.2282934530963185,1
7.0,0.5,0.2282934530963185,1
10.0,0.5,0.2137650455084784,1
10.0,0.5,0.18598995044861996,1
9.0,0.0,0.08318899794865589,1
