complexity,cost,freqs,feature_complexity,feature_cost
12.0,0.0,116.0,24,0.0
12.0,0.281808,89.0,20,0.08505447336002463
11.0,0.247073,49.0,20,0.11992198778172078
16.0,0.247073,47.0,24,0.1944927669860903
12.0,0.615719,42.0,18,0.2733347665903285
16.0,0.247073,28.0,24,0.1944927669860903
15.0,0.494146,26.0,24,0.3889855339721806
11.0,0.247073,23.0,20,0.11992198778172078
11.0,0.494146,20.0,16,0.23984397556344156
12.0,0.615719,13.0,18,0.27333476659032857
12.0,0.218192,13.0,20,0.06585405759162304
11.0,0.5,11.0,16,0.15090853095164766
13.0,0.565194,11.0,18,0.26443933377326245
13.0,0.565194,10.0,18,0.26443933377326245
9.0,0.994146,9.0,13,0.3907525065150892
12.0,0.0,6.0,20,0.029986041373355622
13.0,0.247073,3.0,20,0.22447880835944592
9.0,0.247073,3.0,16,0.1499080291550764
11.0,0.218192,3.0,16,0.09584009896497866
11.0,0.565194,2.0,14,0.2944253751466181
14.0,0.0,2.0,24,0.029986041373355622
14.0,0.247073,2.0,20,0.1499080291550764
12.0,0.247073,2.0,24,0.22447880835944592
13.0,0.218192,2.0,20,0.09584009896497866
13.0,0.565194,1.0,18,0.2944253751466181
12.0,0.281808,1.0,18,0.1325812244818664
10.0,0.5,1.0,14,0.19843528207348943
11.0,0.0,1.0,20,0.024804913542406177
11.0,0.281808,1.0,16,0.1098593869024308
14.0,0.247073,1.0,20,0.2192976805284965
11.0,0.247073,1.0,16,0.14472690132412697
11.0,0.615719,1.0,14,0.29813968013273473
12.0,0.247073,1.0,18,0.16406448914797714
10.0,0.494146,1.0,14,0.2839864769296979
15.0,0.247073,1.0,21,0.23863526835234666
15.0,0.494146,1.0,21,0.43312803533843697
12.0,0.615719,1.0,18,0.3307938039582115
13.0,0.0,1.0,24,0.024804913542406177
12.0,0.281808,1.0,20,0.1098593869024308
13.0,0.247073,1.0,20,0.14472690132412697
15.0,0.247073,1.0,24,0.2192976805284965
13.0,0.615719,,18,0.2981396801327347
14.0,0.247073,,21,0.23863526835234666
15.0,0.494146,,21,0.43312803533843697
14.0,0.247073,,21,0.16406448914797714
13.0,0.494146,,17,0.2839864769296979
9.0,0.615719,,18,0.33079380395821156
12.0,0.218192,,21,0.10632492105425037
10.0,0.5,,17,0.19137939441427498
12.0,0.565194,,18,0.31923028868902426
13.0,0.565194,,18,0.31923028868902426
9.0,0.994146,,15,0.4562838683065077
14.0,0.0,,24,0.029986041373355622
12.0,0.247073,,24,0.22447880835944592
14.0,0.247073,,20,0.1499080291550764
13.0,0.218192,,20,0.09584009896497866
13.0,0.565194,,18,0.2944253751466181
15.0,0.0,,24,0.059972082746711244
12.0,0.218192,,20,0.12582614033833428
14.0,0.0,,20,0.0547909549157618
12.0,0.247073,,16,0.17471294269748258
15.0,0.247073,,21,0.2686213097257023
15.0,0.0,,24,0.0547909549157618
14.0,0.247073,,24,0.2492837219018521
15.0,0.247073,,21,0.19405053052133275
14.0,0.218192,,21,0.136310962427606
13.0,0.565194,,18,0.34921633006237984
11.0,0.0,,20,0.029986041373355622
9.0,0.247073,,16,0.1499080291550764
13.0,0.247073,,20,0.22447880835944592
11.0,0.218192,,16,0.09584009896497866
11.0,0.565194,,14,0.2944253751466181
11.0,0.0,,16,0.059972082746711244
9.0,0.218192,,12,0.12582614033833428
11.0,0.0,,16,0.0547909549157618
12.0,0.247073,,16,0.2492837219018521
10.0,0.247073,,14,0.19405053052133275
13.0,0.0,,20,0.0547909549157618
11.0,0.247073,,16,0.17471294269748258
