complexity,cost,freqs,feature_complexity,feature_cost
7.0,0.0,116,8,0.10640591315060055
3.0,1.0,89,2,0.4082229750538959
3.0,0.988291,49,2,0.5860938642774837
5.0,0.494146,47,5,0.3462498887140421
1.0,1.988291,42,1,0.8879109261807789
5.0,0.5,28,5,0.25606854815617697
7.0,0.5,26,8,0.2064587210713646
3.0,1.0,23,2,0.4069770791078246
7.0,1.0,20,8,0.3018170619032953
5.0,1.0,13,5,0.3573672520230122
10.0,0.5,13,16,0.15090853095164766
5.0,0.436384,11,5,0.23811402833384662
12.0,0.0,11,24,0.0
5.0,1.0,10,5,0.3514268889881077
5.0,0.494146,9,5,0.3462498887140421
9.0,0.718192,6,12,0.21676258854327068
8.0,0.5,3,13,0.20051835803646
9.0,0.5,3,12,0.1786836260115061
9.0,0.0,3,12,0.07641987177724494
7.0,0.718192,2,9,0.26637241562808306
9.0,0.247073,2,10,0.21302951747392204
9.0,0.0,2,12,0.07641987177724494
9.0,0.218192,2,12,0.12582614033833428
9.0,0.0,2,16,0.05555019011971693
5.0,1.0,1,5,0.34825089230718465
7.0,0.436384,1,9,0.208127986960491
7.0,0.718192,1,9,0.27231277866298764
7.0,0.436384,1,8,0.19168019792995733
9.0,0.436384,1,12,0.1616941565566017
7.0,0.741218,1,9,0.4129689199204626
7.0,0.712338,1,4,0.37431775073989537
9.0,0.247073,1,10,0.20092037233428472
10.0,0.247073,1,14,0.1709343309609291
9.0,0.247073,1,10,0.2074348031494364
12.0,0.465265,1,14,0.22008590416575918
7.0,0.563616,1,8,0.21654277712393855
7.0,0.5,1,9,0.2282934530963185
7.0,0.5,1,9,0.2282934530963185
10.0,0.5,1,10,0.2137650455084784
10.0,0.5,1,14,0.18598995044861996
9.0,0.0,1,12,0.08318899794865589
