complexity,cost,feature_based_cost
16.0,0.0,0.0
15.0,0.00841,0.0
16.0,0.00841,0.0
16.0,0.019994,0.0
16.0,0.00841,0.0
13.0,0.01682,0.0
16.0,0.019994,0.0
15.0,0.00841,0.0
14.0,0.01682,0.0
16.0,0.019994,0.0
16.0,0.019994,0.0
12.0,0.03364,0.0
15.0,0.007663,0.003831230667920995
14.0,0.016073,0.003831230667920995
14.0,0.016073,0.003831230667920995
15.0,0.027657,0.003831230667920995
16.0,0.018822,0.0052059137414734
15.0,0.027232,0.0052059137414734
16.0,0.007663,0.003831230667920995
14.0,0.016073,0.003831230667920995
15.0,0.016073,0.003831230667920995
15.0,0.027657,0.003831230667920995
16.0,0.018822,0.0052059137414734
14.0,0.027232,0.0052059137414734
16.0,0.018822,0.0052059137414734
15.0,0.027232,0.0052059137414734
16.0,0.03217,0.0060874682862343595
15.0,0.047119,0.006738860675176953
15.0,0.007008,0.0
12.0,0.015418,0.0
14.0,0.015418,0.0
14.0,0.027002,0.0
14.0,0.015418,0.0
12.0,0.023828,0.0
14.0,0.027002,0.0
14.0,0.015418,0.0
11.0,0.023828,0.0
15.0,0.027002,0.0
15.0,0.027002,0.0
11.0,0.040648,0.0
16.0,0.01771,0.005350716204204429
15.0,0.02612,0.005350716204204429
15.0,0.02612,0.005350716204204429
16.0,0.037704,0.005350716204204429
15.0,0.007663,0.003831230667920995
14.0,0.015326,0.00766246133584199
14.0,0.016073,0.003831230667920995
14.0,0.015326,0.00766246133584199
15.0,0.026485,0.009037144409394397
14.0,0.016073,0.003831230667920995
13.0,0.023736,0.00766246133584199
15.0,0.027657,0.003831230667920995
15.0,0.026485,0.009037144409394394
15.0,0.039833,0.009918698954155354
16.0,0.018822,0.0052059137414734
15.0,0.026485,0.009037144409394397
15.0,0.027232,0.0052059137414734
16.0,0.037645,0.010411827482946803
16.0,0.01183,0.005350716204204429
15.0,0.02024,0.005350716204204429
15.0,0.02024,0.005350716204204429
16.0,0.031824,0.005350716204204429
11.0,0.030744,0.007662461335841992
10.0,0.039154,0.007662461335841992
16.0,0.01771,0.005350716204204429
14.0,0.02612,0.005350716204204429
15.0,0.02612,0.005350716204204429
14.0,0.037704,0.005350716204204429
14.0,0.045453,0.009224949839795962
16.0,0.007663,0.003831230667920995
14.0,0.015326,0.00766246133584199
15.0,0.016073,0.003831230667920995
13.0,0.015326,0.00766246133584199
14.0,0.026485,0.009037144409394397
14.0,0.016073,0.003831230667920995
12.0,0.023736,0.00766246133584199
15.0,0.026485,0.009037144409394397
15.0,0.027657,0.003831230667920995
16.0,0.01771,0.005350716204204429
14.0,0.02612,0.005350716204204429
15.0,0.02612,0.005350716204204429
14.0,0.037704,0.005350716204204429
16.0,0.018822,0.0052059137414734
15.0,0.026485,0.009037144409394396
14.0,0.027232,0.0052059137414734
14.0,0.026485,0.009037144409394396
12.0,0.037645,0.010411827482946803
14.0,0.045453,0.009224949839795962
16.0,0.018822,0.0052059137414734
15.0,0.026485,0.009037144409394396
15.0,0.027232,0.0052059137414734
16.0,0.037645,0.010411827482946803
12.0,0.030744,0.00766246133584199
11.0,0.039154,0.00766246133584199
16.0,0.03217,0.0060874682862343595
15.0,0.039833,0.009918698954155354
15.0,0.047119,0.006738860675176959
11.0,0.061473,0.010411827482946803
16.0,0.007663,0.003831230667920995
14.0,0.014671,0.003831230667920995
13.0,0.015326,0.00766246133584199
14.0,0.025373,0.009181946872125424
15.0,0.015326,0.00766246133584199
12.0,0.022989,0.011493692003762985
15.0,0.025373,0.009181946872125424
14.0,0.016073,0.003831230667920995
13.0,0.023081,0.003831230667920995
14.0,0.026485,0.009037144409394396
15.0,0.026485,0.009037144409394396
11.0,0.038407,0.011493692003762985
14.0,0.015326,0.00766246133584199
12.0,0.022989,0.011493692003762985
13.0,0.023736,0.00766246133584199
13.0,0.034148,0.012868375077315388
15.0,0.019493,0.009181946872125424
14.0,0.027903,0.009181946872125424
15.0,0.016073,0.003831230667920995
14.0,0.023081,0.003831230667920995
13.0,0.023736,0.00766246133584199
13.0,0.033783,0.009181946872125424
15.0,0.026485,0.009037144409394396
12.0,0.034148,0.012868375077315392
15.0,0.027657,0.003831230667920995
14.0,0.034665,0.003831230667920995
15.0,0.039833,0.009918698954155354
16.0,0.007008,0.0
14.0,0.015418,0.0
13.0,0.015418,0.0
14.0,0.027002,0.0
15.0,0.015418,0.0
12.0,0.023828,0.0
15.0,0.027002,0.0
15.0,0.015418,0.0
13.0,0.023828,0.0
14.0,0.027002,0.0
15.0,0.027002,0.0
11.0,0.040648,0.0
14.0,0.014671,0.003831230667920995
12.0,0.023081,0.003831230667920995
13.0,0.023081,0.003831230667920995
13.0,0.034665,0.003831230667920995
15.0,0.02583,0.0052059137414734
14.0,0.03424,0.0052059137414734
15.0,0.014671,0.003831230667920995
14.0,0.023081,0.003831230667920995
13.0,0.023081,0.003831230667920995
13.0,0.034665,0.003831230667920995
15.0,0.02583,0.0052059137414734
12.0,0.03424,0.0052059137414734
15.0,0.02583,0.0052059137414734
14.0,0.03424,0.0052059137414734
15.0,0.039178,0.0060874682862343595
13.0,0.054127,0.006738860675176959
16.0,0.01771,0.005350716204204429
15.0,0.025373,0.009181946872125424
15.0,0.02612,0.005350716204204429
15.0,0.025373,0.009181946872125424
15.0,0.036533,0.010556629945677829
15.0,0.02612,0.005350716204204429
14.0,0.033783,0.009181946872125424
15.0,0.037704,0.005350716204204429
15.0,0.036533,0.010556629945677829
15.0,0.04988,0.01143818449043879
16.0,0.018822,0.0052059137414734
14.0,0.02583,0.0052059137414734
14.0,0.026485,0.009037144409394397
11.0,0.036533,0.010556629945677829
15.0,0.026485,0.009037144409394397
12.0,0.034148,0.012868375077315392
13.0,0.036533,0.010556629945677829
15.0,0.027232,0.0052059137414734
12.0,0.03424,0.0052059137414734
14.0,0.037645,0.010411827482946803
15.0,0.037645,0.010411827482946803
10.0,0.049566,0.012868375077315392
16.0,0.016661,0.0
14.0,0.025071,0.0
14.0,0.025071,0.0
11.0,0.036655,0.0
15.0,0.025071,0.0
12.0,0.033481,0.0
13.0,0.036655,0.0
15.0,0.025071,0.0
12.0,0.033481,0.0
14.0,0.036655,0.0
15.0,0.036655,0.0
10.0,0.050301,0.0
14.0,0.043824,0.009375982346051855
12.0,0.052234,0.009375982346051855
15.0,0.007663,0.003831230667920995
14.0,0.015326,0.00766246133584199
14.0,0.016073,0.003831230667920995
15.0,0.026485,0.009037144409394397
14.0,0.014671,0.003831230667920995
11.0,0.023081,0.003831230667920995
