complexity,cost,feature_based_cost
16.0,0.0,0.0
15.0,0.00841,0.0028030833917309034
16.0,0.00841,0.0028030833917309034
16.0,0.019994,0.0066641730934316286
16.0,0.00841,0.0028030833917309034
13.0,0.01682,0.005606166783461807
16.0,0.019994,0.0066641730934316286
15.0,0.00841,0.0028030833917309034
14.0,0.01682,0.005606166783461807
16.0,0.019994,0.0066641730934316286
16.0,0.019994,0.0066641730934316286
12.0,0.03364,0.011212333566923614
15.0,0.007663,0.002554153778613996
14.0,0.016073,0.0053572371703449004
14.0,0.016073,0.0053572371703449004
15.0,0.027657,0.009218326872045626
16.0,0.018822,0.00627369255271317
15.0,0.027232,0.009076775944444074
16.0,0.007663,0.002554153778613996
14.0,0.016073,0.0053572371703449004
15.0,0.016073,0.0053572371703449
15.0,0.027657,0.009218326872045626
16.0,0.018822,0.00627369255271317
14.0,0.027232,0.009076775944444074
16.0,0.018822,0.00627369255271317
15.0,0.027232,0.009076775944444074
16.0,0.03217,0.010722485284254535
15.0,0.047119,0.015704907350374914
15.0,0.007008,0.0023359028264424197
12.0,0.015418,0.005138986218173323
14.0,0.015418,0.005138986218173323
14.0,0.027002,0.009000075919874048
14.0,0.015418,0.005138986218173323
12.0,0.023828,0.007942069609904226
14.0,0.027002,0.009000075919874048
14.0,0.015418,0.005138986218173323
11.0,0.023828,0.007942069609904226
15.0,0.027002,0.009000075919874048
15.0,0.027002,0.009000075919874046
11.0,0.040648,0.013548236393366032
16.0,0.01771,0.005903046962578705
15.0,0.02612,0.008706130354309609
15.0,0.02612,0.008706130354309609
16.0,0.037704,0.012567220056010332
15.0,0.007663,0.002554153778613996
14.0,0.015326,0.005108307557227992
14.0,0.016073,0.005357237170344899
14.0,0.015326,0.005108307557227992
15.0,0.026485,0.008827846331327167
14.0,0.016073,0.0053572371703449004
13.0,0.023736,0.007911390948958897
15.0,0.027657,0.009218326872045626
15.0,0.026485,0.008827846331327167
15.0,0.039833,0.013276639062868531
16.0,0.018822,0.00627369255271317
15.0,0.026485,0.008827846331327167
15.0,0.027232,0.009076775944444074
16.0,0.037645,0.012547385105426342
16.0,0.01183,0.0059030469625787054
15.0,0.02024,0.008706130354309609
15.0,0.02024,0.008706130354309609
16.0,0.031824,0.012567220056010332
11.0,0.030744,0.010247293775401317
10.0,0.039154,0.01305037716713222
