complexity,cost,feature_based_cost
16.0,0.0,0.0
15.0,0.00841,0.0004204625087596356
16.0,0.00841,0.0004204625087596356
16.0,0.019994,0.0009996259640147444
16.0,0.00841,0.0004204625087596356
13.0,0.01682,0.0008409250175192712
16.0,0.019994,0.0009996259640147444
15.0,0.00841,0.0004204625087596356
14.0,0.01682,0.0008409250175192712
16.0,0.019994,0.0009996259640147444
16.0,0.019994,0.0009996259640147444
12.0,0.03364,0.0016818500350385423
15.0,0.007663,0.003831230667920996
14.0,0.016073,0.004251693176680631
14.0,0.016073,0.004251693176680631
15.0,0.027657,0.00483085663193574
16.0,0.018822,0.0056263762502330355
15.0,0.027232,0.006046838758992671
16.0,0.007663,0.003831230667920995
14.0,0.016073,0.004251693176680631
15.0,0.016073,0.004251693176680631
15.0,0.027657,0.0048308566319357395
16.0,0.018822,0.0056263762502330355
14.0,0.027232,0.0060468387589926705
16.0,0.018822,0.005626376250233036
15.0,0.027232,0.006046838758992671
16.0,0.03217,0.007087094250249105
15.0,0.047119,0.008420710710215495
15.0,0.007008,0.00035038542396636303
12.0,0.015418,0.0007708479327259985
14.0,0.015418,0.0007708479327259985
14.0,0.027002,0.0013500113879811074
14.0,0.015418,0.0007708479327259986
12.0,0.023828,0.001191310441485634
14.0,0.027002,0.0013500113879811074
14.0,0.015418,0.0007708479327259986
11.0,0.023828,0.001191310441485634
15.0,0.027002,0.0013500113879811074
15.0,0.027002,0.0013500113879811072
11.0,0.040648,0.002032235459004905
16.0,0.01771,0.0057011016281707915
15.0,0.02612,0.006121564136930427
15.0,0.02612,0.006121564136930427
16.0,0.037704,0.006700727592185537
15.0,0.007663,0.003831230667920996
14.0,0.015326,0.007662461335841992
14.0,0.016073,0.004251693176680631
14.0,0.015326,0.007662461335841991
15.0,0.026485,0.009457606918154032
14.0,0.016073,0.004251693176680631
13.0,0.023736,0.008082923844601627
15.0,0.027657,0.00483085663193574
15.0,0.026485,0.009457606918154032
15.0,0.039833,0.0109183249181701
16.0,0.018822,0.0056263762502330355
15.0,0.026485,0.009457606918154032
15.0,0.027232,0.006046838758992671
16.0,0.037645,0.011252752500466073
16.0,0.01183,0.005701101628170792
15.0,0.02024,0.006121564136930427
15.0,0.02024,0.006121564136930428
16.0,0.031824,0.006700727592185537
11.0,0.030744,0.00843330926856799
10.0,0.039154,0.008853771777327626
16.0,0.01771,0.005701101628170792
14.0,0.02612,0.006121564136930427
15.0,0.02612,0.006121564136930427
14.0,0.037704,0.006700727592185537
14.0,0.045453,0.010574961227777067
16.0,0.007663,0.003831230667920995
14.0,0.015326,0.007662461335841991
15.0,0.016073,0.004251693176680631
13.0,0.015326,0.007662461335841991
14.0,0.026485,0.009457606918154032
14.0,0.016073,0.00425169317668063
12.0,0.023736,0.008082923844601625
15.0,0.026485,0.009457606918154032
15.0,0.027657,0.0048308566319357395
16.0,0.01771,0.005701101628170792
14.0,0.02612,0.006121564136930427
15.0,0.02612,0.006121564136930427
14.0,0.037704,0.006700727592185537
16.0,0.018822,0.0056263762502330355
15.0,0.026485,0.00945760691815403
14.0,0.027232,0.0060468387589926705
14.0,0.026485,0.00945760691815403
12.0,0.037645,0.011252752500466073
14.0,0.045453,0.010574961227777067
16.0,0.018822,0.005626376250233036
15.0,0.026485,0.009457606918154032
15.0,0.027232,0.006046838758992671
16.0,0.037645,0.011252752500466073
12.0,0.030744,0.00843330926856799
11.0,0.039154,0.008853771777327626
16.0,0.03217,0.007087094250249105
15.0,0.039833,0.010918324918170099
15.0,0.047119,0.0084207107102155
11.0,0.061473,0.012444062941951706
16.0,0.007663,0.003831230667920996
14.0,0.014671,0.004181616091887359
13.0,0.015326,0.007662461335841992
14.0,0.025373,0.009532332296091788
15.0,0.015326,0.007662461335841991
12.0,0.022989,0.011493692003762986
15.0,0.025373,0.009532332296091788
14.0,0.016073,0.004251693176680631
13.0,0.023081,0.004602078600646994
14.0,0.026485,0.00945760691815403
15.0,0.026485,0.00945760691815403
11.0,0.038407,0.012264539936488985
14.0,0.015326,0.007662461335841992
12.0,0.022989,0.011493692003762986
13.0,0.023736,0.008082923844601627
13.0,0.034148,0.013288837586075027
15.0,0.019493,0.009532332296091788
14.0,0.027903,0.009952794804851423
15.0,0.016073,0.004251693176680631
14.0,0.023081,0.004602078600646994
13.0,0.023736,0.008082923844601627
13.0,0.033783,0.009952794804851423
15.0,0.026485,0.00945760691815403
12.0,0.034148,0.013288837586075027
15.0,0.027657,0.00483085663193574
14.0,0.034665,0.005181242055902103
15.0,0.039833,0.0109183249181701
16.0,0.007008,0.00035038542396636303
14.0,0.015418,0.0007708479327259985
