complexity,cost,feature_based_cost
14.0,0.0,0.0
12.0,0.24669,0.0
13.0,0.21618,0.21618037135278514
13.0,0.24669,0.2466896450084717
13.0,0.563077,0.31638801350497125
13.0,0.24669,0.2466896450084717
11.0,0.493379,0.49337929001694336
13.0,0.28382,0.2838196286472148
11.0,0.5,0.49999999999999994
13.0,0.616814,0.37012395174588175
12.0,0.24669,0.0
10.0,0.493379,0.0
13.0,0.563077,0.31638801350497125
13.0,0.616814,0.37012395174588175
9.0,0.993379,0.49999999999999994
12.0,0.0,0.0
12.0,0.24669,0.2466896450084717
11.0,0.28382,0.2838196286472148
11.0,0.24669,0.0
12.0,0.616814,0.37012395174588175
14.0,0.0,0.0
12.0,0.21618,0.21618037135278514
12.0,0.24669,0.2466896450084717
12.0,0.24669,0.0
12.0,0.563077,0.31638801350497125
13.0,0.24669,0.0
11.0,0.493379,0.0
13.0,0.0,0.0
12.0,0.24669,0.0
12.0,0.24669,0.2466896450084717
13.0,0.28382,0.2838196286472148
13.0,0.616814,0.37012395174588175
13.0,0.21618,0.21618037135278514
12.0,0.5,0.49999999999999994
15.0,0.24669,0.2466896450084717
13.0,0.493379,0.49337929001694336
13.0,0.563077,0.31638801350497125
12.0,0.0,0.0
11.0,0.24669,0.0
12.0,0.21618,0.21618037135278514
11.0,0.24669,0.2466896450084717
12.0,0.563077,0.31638801350497125
12.0,0.24669,0.2466896450084717
12.0,0.493379,0.49337929001694336
14.0,0.28382,0.2838196286472148
14.0,0.5,0.49999999999999994
12.0,0.616814,0.37012395174588175
13.0,0.24669,0.0
12.0,0.493379,0.0
13.0,0.563077,0.31638801350497125
12.0,0.616814,0.37012395174588175
11.0,0.993379,0.49999999999999994
14.0,0.0,0.0
12.0,0.24669,0.2466896450084717
12.0,0.28382,0.2838196286472148
12.0,0.24669,0.0
12.0,0.616814,0.37012395174588175
11.0,0.0,0.0
9.0,0.24669,0.0
12.0,0.0,0.0
11.0,0.28382,0.2838196286472148
13.0,0.24669,0.2466896450084717
12.0,0.0,0.0
10.0,0.24669,0.2466896450084717
14.0,0.28382,0.2838196286472148
13.0,0.24669,0.0
11.0,0.616814,0.37012395174588175
12.0,0.0,0.0
11.0,0.21618,0.21618037135278514
12.0,0.24669,0.2466896450084717
11.0,0.24669,0.0
12.0,0.563077,0.31638801350497125
10.0,0.0,0.0
9.0,0.24669,0.0
11.0,0.0,0.0
10.0,0.24669,0.2466896450084717
11.0,0.21618,0.21618037135278514
11.0,0.0,0.0
10.0,0.21618,0.21618037135278514
11.0,0.24669,0.2466896450084717
12.0,0.24669,0.0
11.0,0.563077,0.31638801350497125
13.0,0.24669,0.0
11.0,0.493379,0.0
11.0,0.24669,0.0
12.0,0.24669,0.0
12.0,0.493379,0.0
11.0,0.0,0.0
10.0,0.24669,0.0
11.0,0.24669,0.2466896450084717
11.0,0.28382,0.2838196286472148
