complexity,cost,feature_based_cost
12.0,0.0,0.0
12.0,0.281808,0.07045200892857142
11.0,0.247073,0.06176819389708875
16.0,0.247073,0.1235363877941775
12.0,0.615719,0.175639494255932
16.0,0.247073,0.1235363877941775
15.0,0.494146,0.247072775588355
11.0,0.247073,0.06176819389708875
11.0,0.494146,0.1235363877941775
12.0,0.615719,0.175639494255932
12.0,0.218192,0.054547991071428575
11.0,0.5,0.125
13.0,0.565194,0.16628091451361432
13.0,0.565194,0.16628091451361432
9.0,0.994146,0.24853638779417755
12.0,0.0,0.0
13.0,0.247073,0.1235363877941775
9.0,0.247073,0.06176819389708875
11.0,0.218192,0.054547991071428575
11.0,0.565194,0.16628091451361432
14.0,0.0,0.0
14.0,0.247073,0.06176819389708875
12.0,0.247073,0.1235363877941775
13.0,0.218192,0.054547991071428575
13.0,0.565194,0.16628091451361432
12.0,0.281808,0.07045200892857142
10.0,0.5,0.125
11.0,0.0,0.0
11.0,0.281808,0.07045200892857142
14.0,0.247073,0.1235363877941775
11.0,0.247073,0.06176819389708875
11.0,0.615719,0.175639494255932
12.0,0.247073,0.06176819389708875
10.0,0.494146,0.1235363877941775
15.0,0.247073,0.1235363877941775
15.0,0.494146,0.247072775588355
12.0,0.615719,0.175639494255932
13.0,0.0,0.0
12.0,0.281808,0.07045200892857142
13.0,0.247073,0.06176819389708875
15.0,0.247073,0.1235363877941775
13.0,0.615719,0.175639494255932
14.0,0.247073,0.1235363877941775
15.0,0.494146,0.247072775588355
14.0,0.247073,0.06176819389708875
13.0,0.494146,0.1235363877941775
9.0,0.615719,0.175639494255932
12.0,0.218192,0.054547991071428575
10.0,0.5,0.125
12.0,0.565194,0.16628091451361432
13.0,0.565194,0.16628091451361432
9.0,0.994146,0.24853638779417755
14.0,0.0,0.0
12.0,0.247073,0.1235363877941775
14.0,0.247073,0.06176819389708875
13.0,0.218192,0.054547991071428575
13.0,0.565194,0.16628091451361432
15.0,0.0,0.0
12.0,0.218192,0.054547991071428575
14.0,0.0,0.0
12.0,0.247073,0.06176819389708875
15.0,0.247073,0.1235363877941775
15.0,0.0,0.0
14.0,0.247073,0.1235363877941775
15.0,0.247073,0.06176819389708875
14.0,0.218192,0.054547991071428575
13.0,0.565194,0.16628091451361432
11.0,0.0,0.0
9.0,0.247073,0.06176819389708875
13.0,0.247073,0.1235363877941775
11.0,0.218192,0.054547991071428575
11.0,0.565194,0.16628091451361432
11.0,0.0,0.0
9.0,0.218192,0.054547991071428575
11.0,0.0,0.0
12.0,0.247073,0.1235363877941775
10.0,0.247073,0.06176819389708875
13.0,0.0,0.0
11.0,0.247073,0.06176819389708875
13.0,0.247073,0.1235363877941775
11.0,0.218192,0.054547991071428575
10.0,0.565194,0.16628091451361432
12.0,0.281808,0.07045200892857142
10.0,0.5,0.125
11.0,0.281808,0.07045200892857142
13.0,0.281808,0.07045200892857142
11.0,0.5,0.125
13.0,0.0,0.0
12.0,0.281808,0.07045200892857142
16.0,0.247073,0.1235363877941775
13.0,0.247073,0.06176819389708875
13.0,0.615719,0.175639494255932
13.0,0.0,0.0
11.0,0.247073,0.06176819389708875
15.0,0.0,0.0
14.0,0.247073,0.1235363877941775
13.0,0.281808,0.07045200892857142
13.0,0.0,0.0
12.0,0.281808,0.07045200892857142
14.0,0.247073,0.1235363877941775
14.0,0.247073,0.06176819389708875
11.0,0.615719,0.175639494255932
14.0,0.247073,0.06176819389708875
13.0,0.494146,0.1235363877941775
15.0,0.247073,0.06176819389708875
14.0,0.247073,0.06176819389708875
14.0,0.494146,0.1235363877941775
14.0,0.247073,0.1235363877941775
15.0,0.494146,0.247072775588355
13.0,0.247073,0.1235363877941775
14.0,0.247073,0.1235363877941775
14.0,0.494146,0.247072775588355
9.0,0.615719,0.175639494255932
11.0,0.615719,0.175639494255932
11.0,0.0,0.0
11.0,0.281808,0.07045200892857142
11.0,0.247073,0.06176819389708875
14.0,0.247073,0.1235363877941775
11.0,0.615719,0.175639494255932
11.0,0.0,0.0
12.0,0.247073,0.1235363877941775
14.0,0.0,0.0
12.0,0.247073,0.06176819389708875
11.0,0.281808,0.07045200892857142
9.0,0.0,0.0
9.0,0.281808,0.07045200892857142
10.0,0.247073,0.06176819389708875
13.0,0.247073,0.1235363877941775
10.0,0.615719,0.175639494255932
15.0,0.247073,0.1235363877941775
15.0,0.494146,0.247072775588355
15.0,0.247073,0.1235363877941775
13.0,0.247073,0.1235363877941775
11.0,0.494146,0.247072775588355
12.0,0.247073,0.06176819389708875
10.0,0.494146,0.1235363877941775
10.0,0.247073,0.06176819389708875
10.0,0.247073,0.06176819389708875
8.0,0.494146,0.1235363877941775
12.0,0.615719,0.175639494255932
10.0,0.615719,0.175639494255932
12.0,0.218192,0.054547991071428575
10.0,0.5,0.125
11.0,0.218192,0.054547991071428575
14.0,0.218192,0.054547991071428575
11.0,0.5,0.125
13.0,0.565194,0.16628091451361432
13.0,0.565194,0.16628091451361432
12.0,0.565194,0.16628091451361432
10.0,0.565194,0.16628091451361432
9.0,0.994146,0.24853638779417755
12.0,0.281808,0.07045200892857142
11.0,0.563616,0.14090401785714285
11.0,0.528881,0.13222020282566016
13.0,0.528881,0.19398839672274892
10.0,0.897527,0.24609150318450343
13.0,0.528881,0.19398839672274892
12.0,0.775954,0.31752478451692645
11.0,0.528881,0.13222020282566016
9.0,0.775954,0.19398839672274892
10.0,0.897527,0.24609150318450343
10.0,0.5,0.125
9.0,0.781808,0.19545200892857142
10.0,0.847002,0.23673292344218574
10.0,0.847002,0.23673292344218574
7.0,1.275954,0.318988396722749
13.0,0.281808,0.07045200892857142
13.0,0.528881,0.19398839672274892
11.0,0.528881,0.13222020282566016
10.0,0.5,0.125
9.0,0.847002,0.23673292344218574
13.0,0.281808,0.07045200892857142
11.0,0.528881,0.13222020282566016
13.0,0.528881,0.19398839672274892
10.0,0.5,0.125
9.0,0.847002,0.23673292344218574
9.0,0.563616,0.14090401785714285
7.0,0.781808,0.19545200892857142
12.0,0.281808,0.07045200892857142
10.0,0.563616,0.14090401785714285
14.0,0.528881,0.19398839672274892
11.0,0.528881,0.13222020282566016
11.0,0.897527,0.24609150318450343
12.0,0.528881,0.13222020282566016
10.0,0.775954,0.19398839672274892
13.0,0.528881,0.19398839672274892
13.0,0.775954,0.31752478451692645
9.0,0.897527,0.24609150318450343
12.0,0.281808,0.07045200892857142
10.0,0.563616,0.14090401785714285
11.0,0.528881,0.13222020282566016
14.0,0.528881,0.19398839672274892
11.0,0.897527,0.24609150318450343
13.0,0.528881,0.19398839672274892
13.0,0.775954,0.31752478451692645
12.0,0.528881,0.13222020282566016
10.0,0.775954,0.19398839672274892
9.0,0.897527,0.24609150318450343
8.0,0.5,0.125
7.0,0.781808,0.19545200892857142
9.0,0.847002,0.23673292344218574
9.0,0.847002,0.23673292344218574
7.0,1.275954,0.318988396722749
12.0,0.0,0.0
14.0,0.247073,0.1235363877941775
11.0,0.247073,0.06176819389708875
11.0,0.218192,0.054547991071428575
12.0,0.565194,0.16628091451361432
14.0,0.0,0.0
13.0,0.218192,0.054547991071428575
11.0,0.0,0.0
9.0,0.247073,0.06176819389708875
13.0,0.247073,0.1235363877941775
12.0,0.0,0.0
14.0,0.247073,0.1235363877941775
12.0,0.247073,0.06176819389708875
11.0,0.218192,0.054547991071428575
11.0,0.565194,0.16628091451361432
11.0,0.0,0.0
10.0,0.218192,0.054547991071428575
9.0,0.0,0.0
12.0,0.0,0.0
9.0,0.218192,0.054547991071428575
12.0,0.0,0.0
12.0,0.247073,0.06176819389708875
14.0,0.0,0.0
12.0,0.0,0.0
13.0,0.247073,0.06176819389708875
12.0,0.247073,0.1235363877941775
13.0,0.247073,0.1235363877941775
11.0,0.0,0.0
12.0,0.247073,0.1235363877941775
