complexity,cost,feature_based_cost
16.0,0.0,0.0
15.0,0.00841,0.0
16.0,0.00841,0.0
16.0,0.019994,0.0
16.0,0.00841,0.0
13.0,0.01682,0.0
16.0,0.019994,0.0
15.0,0.00841,0.0
14.0,0.01682,0.0
16.0,0.019994,0.0
16.0,0.019994,0.0
12.0,0.03364,0.0
15.0,0.007663,0.0015324922671683982
14.0,0.016073,0.0015324922671683982
14.0,0.016073,0.0015324922671683982
15.0,0.027657,0.0015324922671683982
16.0,0.018822,0.0020823654965893604
15.0,0.027232,0.0020823654965893604
16.0,0.007663,0.0015324922671683982
14.0,0.016073,0.0015324922671683982
15.0,0.016073,0.0015324922671683982
15.0,0.027657,0.0015324922671683982
16.0,0.018822,0.0020823654965893604
14.0,0.027232,0.0020823654965893604
16.0,0.018822,0.0020823654965893604
15.0,0.027232,0.0020823654965893604
16.0,0.03217,0.002434987314493744
15.0,0.047119,0.002695544270070782
15.0,0.007008,0.0
12.0,0.015418,0.0
14.0,0.015418,0.0
14.0,0.027002,0.0
14.0,0.015418,0.0
12.0,0.023828,0.0
14.0,0.027002,0.0
14.0,0.015418,0.0
11.0,0.023828,0.0
15.0,0.027002,0.0
15.0,0.027002,0.0
11.0,0.040648,0.0
16.0,0.01771,0.0021402864816817717
15.0,0.02612,0.0021402864816817717
15.0,0.02612,0.0021402864816817717
16.0,0.037704,0.0021402864816817717
15.0,0.007663,0.0015324922671683982
14.0,0.015326,0.0030649845343367964
14.0,0.016073,0.0015324922671683982
14.0,0.015326,0.0030649845343367964
15.0,0.026485,0.0036148577637577584
14.0,0.016073,0.0015324922671683982
13.0,0.023736,0.0030649845343367964
15.0,0.027657,0.0015324922671683982
15.0,0.026485,0.0036148577637577584
15.0,0.039833,0.003967479581662142
16.0,0.018822,0.0020823654965893604
15.0,0.026485,0.003614857763757759
15.0,0.027232,0.0020823654965893604
16.0,0.037645,0.004164730993178721
16.0,0.01183,0.0021402864816817717
15.0,0.02024,0.0021402864816817717
15.0,0.02024,0.0021402864816817717
16.0,0.031824,0.0021402864816817717
11.0,0.030744,0.0030649845343367972
10.0,0.039154,0.0030649845343367972
16.0,0.01771,0.0021402864816817717
14.0,0.02612,0.0021402864816817717
15.0,0.02612,0.0021402864816817717
14.0,0.037704,0.0021402864816817717
14.0,0.045453,0.003689979935918384
16.0,0.007663,0.0015324922671683982
14.0,0.015326,0.0030649845343367964
15.0,0.016073,0.0015324922671683982
13.0,0.015326,0.0030649845343367964
14.0,0.026485,0.0036148577637577584
14.0,0.016073,0.0015324922671683982
12.0,0.023736,0.0030649845343367964
15.0,0.026485,0.0036148577637577584
15.0,0.027657,0.0015324922671683982
16.0,0.01771,0.0021402864816817717
14.0,0.02612,0.0021402864816817717
15.0,0.02612,0.0021402864816817717
14.0,0.037704,0.0021402864816817717
16.0,0.018822,0.0020823654965893604
15.0,0.026485,0.003614857763757759
14.0,0.027232,0.0020823654965893604
14.0,0.026485,0.003614857763757759
12.0,0.037645,0.004164730993178721
14.0,0.045453,0.003689979935918384
16.0,0.018822,0.0020823654965893604
15.0,0.026485,0.003614857763757759
15.0,0.027232,0.0020823654965893604
16.0,0.037645,0.004164730993178721
12.0,0.030744,0.0030649845343367964
11.0,0.039154,0.0030649845343367964
16.0,0.03217,0.002434987314493744
15.0,0.039833,0.003967479581662142
15.0,0.047119,0.0026955442700707832
11.0,0.061473,0.004164730993178721
16.0,0.007663,0.0015324922671683982
14.0,0.014671,0.0015324922671683982
13.0,0.015326,0.0030649845343367964
14.0,0.025373,0.0036727787488501696
15.0,0.015326,0.0030649845343367964
12.0,0.022989,0.004597476801505194
15.0,0.025373,0.0036727787488501696
14.0,0.016073,0.0015324922671683982
13.0,0.023081,0.0015324922671683982
14.0,0.026485,0.003614857763757759
15.0,0.026485,0.003614857763757759
11.0,0.038407,0.004597476801505194
14.0,0.015326,0.0030649845343367964
12.0,0.022989,0.004597476801505194
13.0,0.023736,0.0030649845343367964
13.0,0.034148,0.005147350030926157
15.0,0.019493,0.00367277874885017
14.0,0.027903,0.00367277874885017
15.0,0.016073,0.0015324922671683982
14.0,0.023081,0.0015324922671683982
13.0,0.023736,0.0030649845343367964
13.0,0.033783,0.0036727787488501696
15.0,0.026485,0.003614857763757759
12.0,0.034148,0.005147350030926156
15.0,0.027657,0.0015324922671683982
14.0,0.034665,0.0015324922671683982
15.0,0.039833,0.003967479581662142
16.0,0.007008,0.0
14.0,0.015418,0.0
13.0,0.015418,0.0
14.0,0.027002,0.0
15.0,0.015418,0.0
12.0,0.023828,0.0
15.0,0.027002,0.0
15.0,0.015418,0.0
13.0,0.023828,0.0
14.0,0.027002,0.0
15.0,0.027002,0.0
11.0,0.040648,0.0
14.0,0.014671,0.0015324922671683982
12.0,0.023081,0.0015324922671683982
13.0,0.023081,0.0015324922671683982
13.0,0.034665,0.0015324922671683982
15.0,0.02583,0.0020823654965893604
14.0,0.03424,0.0020823654965893604
15.0,0.014671,0.0015324922671683982
14.0,0.023081,0.0015324922671683982
13.0,0.023081,0.0015324922671683982
13.0,0.034665,0.0015324922671683982
15.0,0.02583,0.0020823654965893604
12.0,0.03424,0.0020823654965893604
15.0,0.02583,0.0020823654965893604
14.0,0.03424,0.0020823654965893604
15.0,0.039178,0.002434987314493744
13.0,0.054127,0.0026955442700707832
16.0,0.01771,0.0021402864816817717
15.0,0.025373,0.00367277874885017
15.0,0.02612,0.0021402864816817717
15.0,0.025373,0.00367277874885017
15.0,0.036533,0.004222651978271132
15.0,0.02612,0.0021402864816817717
14.0,0.033783,0.00367277874885017
15.0,0.037704,0.0021402864816817717
15.0,0.036533,0.004222651978271132
15.0,0.04988,0.004575273796175516
16.0,0.018822,0.0020823654965893604
14.0,0.02583,0.0020823654965893604
14.0,0.026485,0.003614857763757759
11.0,0.036533,0.004222651978271132
15.0,0.026485,0.003614857763757759
12.0,0.034148,0.005147350030926157
13.0,0.036533,0.004222651978271132
15.0,0.027232,0.0020823654965893604
12.0,0.03424,0.0020823654965893604
14.0,0.037645,0.004164730993178721
15.0,0.037645,0.004164730993178721
10.0,0.049566,0.005147350030926157
16.0,0.016661,0.0
14.0,0.025071,0.0
14.0,0.025071,0.0
11.0,0.036655,0.0
15.0,0.025071,0.0
12.0,0.033481,0.0
13.0,0.036655,0.0
15.0,0.025071,0.0
12.0,0.033481,0.0
14.0,0.036655,0.0
15.0,0.036655,0.0
10.0,0.050301,0.0
14.0,0.043824,0.003750392938420743
12.0,0.052234,0.003750392938420743
