complexity,cost,feature_based_cost
14.0,0.0,0.0
12.0,0.24102,0.12050984560102862
14.0,0.305556,0.1527777777777778
13.0,0.24102,0.12050984560102862
13.0,0.626701,0.3133504777380266
13.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205727
13.0,0.194444,0.09722222222222222
11.0,0.5,0.25
13.0,0.538051,0.2690256113232736
12.0,0.24102,0.12050984560102862
10.0,0.482039,0.24101969120205727
13.0,0.626701,0.3133504777380266
13.0,0.359502,0.2690256113232736
9.0,0.982039,0.49101969120205735
12.0,0.0,0.0
12.0,0.24102,0.12050984560102862
11.0,0.194444,0.09722222222222222
11.0,0.24102,0.12050984560102862
12.0,0.359502,0.2690256113232736
14.0,0.0,0.0
12.0,0.305556,0.1527777777777778
12.0,0.24102,0.12050984560102862
12.0,0.24102,0.12050984560102862
12.0,0.626701,0.3133504777380266
13.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205727
13.0,0.0,0.0
12.0,0.24102,0.12050984560102862
12.0,0.24102,0.12050984560102862
13.0,0.194444,0.09722222222222222
13.0,0.538051,0.2690256113232736
13.0,0.305556,0.1527777777777778
12.0,0.5,0.25
15.0,0.24102,0.12050984560102862
13.0,0.482039,0.24101969120205727
13.0,0.626701,0.3133504777380266
12.0,0.0,0.0
11.0,0.24102,0.12050984560102862
12.0,0.305556,0.1527777777777778
11.0,0.24102,0.12050984560102862
12.0,0.626701,0.3133504777380266
12.0,0.24102,0.12050984560102862
12.0,0.482039,0.24101969120205727
14.0,0.194444,0.09722222222222222
14.0,0.5,0.25
12.0,0.538051,0.2690256113232736
13.0,0.24102,0.12050984560102862
12.0,0.482039,0.24101969120205727
13.0,0.626701,0.3133504777380266
14.0,0.538051,0.2690256113232736
11.0,0.982039,0.49101969120205735
14.0,0.0,0.0
12.0,0.24102,0.12050984560102862
12.0,0.194444,0.09722222222222222
12.0,0.24102,0.12050984560102862
12.0,0.359502,0.2690256113232736
11.0,0.0,0.0
9.0,0.24102,0.12050984560102862
12.0,0.0,0.0
11.0,0.194444,0.09722222222222222
13.0,0.24102,0.12050984560102862
12.0,0.0,0.0
10.0,0.24102,0.12050984560102862
14.0,0.194444,0.09722222222222222
13.0,0.24102,0.12050984560102862
13.0,0.538051,0.2690256113232736
12.0,0.0,0.0
11.0,0.305556,0.1527777777777778
12.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
12.0,0.626701,0.3133504777380266
10.0,0.0,0.0
9.0,0.24102,0.12050984560102862
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
11.0,0.305556,0.1527777777777778
11.0,0.0,0.0
10.0,0.305556,0.1527777777777778
11.0,0.24102,0.12050984560102862
12.0,0.24102,0.12050984560102862
11.0,0.626701,0.3133504777380266
13.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205727
11.0,0.24102,0.12050984560102862
12.0,0.24102,0.12050984560102862
12.0,0.482039,0.24101969120205727
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
11.0,0.194444,0.09722222222222222
12.0,0.538051,0.2690256113232736
10.0,0.0,0.0
10.0,0.194444,0.09722222222222222
12.0,0.0,0.0
10.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
10.0,0.0,0.0
9.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
13.0,0.194444,0.09722222222222222
10.0,0.538051,0.2690256113232736
14.0,0.305556,0.1527777777777778
14.0,0.5,0.25
14.0,0.305556,0.1527777777777778
13.0,0.305556,0.1527777777777778
11.0,0.5,0.25
12.0,0.24102,0.12050984560102862
12.0,0.482039,0.24101969120205727
11.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
9.0,0.482039,0.24101969120205727
11.0,0.626701,0.3133504777380266
10.0,0.626701,0.3133504777380266
13.0,0.0,0.0
12.0,0.24102,0.12050984560102862
12.0,0.305556,0.1527777777777778
11.0,0.24102,0.12050984560102862
12.0,0.626701,0.3133504777380266
12.0,0.0,0.0
10.0,0.24102,0.12050984560102862
13.0,0.0,0.0
11.0,0.305556,0.1527777777777778
12.0,0.24102,0.12050984560102862
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
12.0,0.305556,0.1527777777777778
13.0,0.24102,0.12050984560102862
11.0,0.626701,0.3133504777380266
14.0,0.24102,0.12050984560102862
13.0,0.482039,0.24101969120205727
14.0,0.24102,0.12050984560102862
13.0,0.24102,0.12050984560102862
13.0,0.482039,0.24101969120205727
13.0,0.194444,0.09722222222222222
12.0,0.5,0.25
11.0,0.194444,0.09722222222222222
12.0,0.194444,0.09722222222222222
9.0,0.5,0.25
13.0,0.538051,0.2690256113232736
11.0,0.538051,0.2690256113232736
12.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205727
11.0,0.24102,0.12050984560102862
13.0,0.24102,0.12050984560102862
12.0,0.482039,0.24101969120205727
14.0,0.626701,0.3133504777380266
13.0,0.626701,0.3133504777380266
13.0,0.538051,0.2690256113232736
11.0,0.538051,0.2690256113232736
11.0,0.982039,0.49101969120205735
12.0,0.24102,0.12050984560102862
10.0,0.482039,0.24101969120205724
11.0,0.546576,0.2732876233788064
11.0,0.482039,0.24101969120205724
11.0,0.867721,0.4338603233390552
11.0,0.482039,0.24101969120205724
9.0,0.723059,0.36152953680308586
12.0,0.435464,0.21773206782325083
9.0,0.74102,0.3705098456010286
11.0,0.77907,0.3895354569243022
10.0,0.482039,0.24101969120205724
8.0,0.723059,0.36152953680308586
11.0,0.867721,0.4338603233390552
11.0,0.600522,0.3895354569243022
7.0,1.223059,0.611529536803086
13.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205724
12.0,0.435464,0.21773206782325083
11.0,0.482039,0.24101969120205724
11.0,0.600522,0.3895354569243022
13.0,0.24102,0.12050984560102862
11.0,0.546576,0.2732876233788064
12.0,0.482039,0.24101969120205724
11.0,0.482039,0.24101969120205724
11.0,0.867721,0.4338603233390552
9.0,0.482039,0.24101969120205724
7.0,0.723059,0.36152953680308586
12.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205724
12.0,0.482039,0.24101969120205724
12.0,0.435464,0.21773206782325083
12.0,0.77907,0.3895354569243022
14.0,0.546576,0.2732876233788064
12.0,0.74102,0.3705098456010286
12.0,0.482039,0.24101969120205724
10.0,0.723059,0.36152953680308586
9.0,0.867721,0.4338603233390552
13.0,0.24102,0.12050984560102862
12.0,0.482039,0.24101969120205724
13.0,0.546576,0.2732876233788064
12.0,0.482039,0.24101969120205724
12.0,0.867721,0.4338603233390552
12.0,0.482039,0.24101969120205724
10.0,0.723059,0.36152953680308586
14.0,0.435464,0.21773206782325083
12.0,0.74102,0.3705098456010286
12.0,0.77907,0.3895354569243022
9.0,0.482039,0.24101969120205724
8.0,0.723059,0.36152953680308586
12.0,0.867721,0.4338603233390552
12.0,0.77907,0.3895354569243022
7.0,1.223059,0.611529536803086
13.0,0.0,0.0
12.0,0.24102,0.12050984560102862
12.0,0.194444,0.09722222222222222
12.0,0.24102,0.12050984560102862
13.0,0.359502,0.2690256113232736
12.0,0.0,0.0
11.0,0.24102,0.12050984560102862
11.0,0.0,0.0
12.0,0.194444,0.09722222222222222
13.0,0.24102,0.12050984560102862
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
14.0,0.194444,0.09722222222222222
12.0,0.24102,0.12050984560102862
14.0,0.538051,0.2690256113232736
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
9.0,0.0,0.0
10.0,0.0,0.0
10.0,0.24102,0.12050984560102862
11.0,0.0,0.0
12.0,0.194444,0.09722222222222222
10.0,0.0,0.0
9.0,0.0,0.0
12.0,0.194444,0.09722222222222222
12.0,0.24102,0.12050984560102862
10.0,0.24102,0.12050984560102862
12.0,0.0,0.0
12.0,0.24102,0.12050984560102862
12.0,0.0,0.0
10.0,0.0,0.0
12.0,0.24102,0.12050984560102862
13.0,0.194444,0.09722222222222222
11.0,0.194444,0.09722222222222222
12.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
12.0,0.538051,0.2690256113232736
12.0,0.24102,0.12050984560102862
10.0,0.482039,0.24101969120205724
11.0,0.435464,0.21773206782325083
10.0,0.482039,0.24101969120205724
11.0,0.600522,0.3895354569243022
12.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205724
12.0,0.24102,0.12050984560102862
12.0,0.435464,0.21773206782325083
10.0,0.482039,0.24101969120205724
12.0,0.24102,0.12050984560102862
11.0,0.482039,0.24101969120205724
14.0,0.435464,0.21773206782325083
8.0,0.482039,0.24101969120205724
10.0,0.77907,0.3895354569243022
12.0,0.0,0.0
12.0,0.305556,0.1527777777777778
11.0,0.24102,0.12050984560102862
11.0,0.24102,0.12050984560102862
12.0,0.626701,0.3133504777380266
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
11.0,0.0,0.0
10.0,0.24102,0.12050984560102862
12.0,0.305556,0.1527777777777778
10.0,0.0,0.0
11.0,0.305556,0.1527777777777778
