complexity,cost,feature_based_cost
14.0,0.0,0.0
12.0,0.24669,0.08222988166949058
13.0,0.21618,0.14412024756852343
13.0,0.24669,0.16445976333898116
13.0,0.563077,0.2931552240061381
13.0,0.24669,0.16445976333898116
11.0,0.493379,0.3289195266779623
13.0,0.28382,0.18921308576480989
11.0,0.5,0.33333333333333337
13.0,0.616814,0.32897918283341177
12.0,0.24669,0.08222988166949058
10.0,0.493379,0.16445976333898116
13.0,0.563077,0.2931552240061381
13.0,0.616814,0.32897918283341177
9.0,0.993379,0.4977930966723146
12.0,0.0,0.0
12.0,0.24669,0.16445976333898116
11.0,0.28382,0.18921308576480989
11.0,0.24669,0.08222988166949058
12.0,0.616814,0.32897918283341177
14.0,0.0,0.0
12.0,0.21618,0.14412024756852343
12.0,0.24669,0.16445976333898116
12.0,0.24669,0.08222988166949058
12.0,0.563077,0.2931552240061381
13.0,0.24669,0.08222988166949058
11.0,0.493379,0.16445976333898116
13.0,0.0,0.0
12.0,0.24669,0.08222988166949058
12.0,0.24669,0.16445976333898116
13.0,0.28382,0.18921308576480989
13.0,0.616814,0.32897918283341177
13.0,0.21618,0.14412024756852343
12.0,0.5,0.33333333333333337
15.0,0.24669,0.16445976333898116
13.0,0.493379,0.3289195266779623
13.0,0.563077,0.2931552240061381
12.0,0.0,0.0
11.0,0.24669,0.08222988166949058
12.0,0.21618,0.14412024756852343
11.0,0.24669,0.16445976333898116
12.0,0.563077,0.2931552240061381
12.0,0.24669,0.16445976333898116
12.0,0.493379,0.3289195266779623
14.0,0.28382,0.18921308576480989
14.0,0.5,0.33333333333333337
12.0,0.616814,0.32897918283341177
13.0,0.24669,0.08222988166949058
12.0,0.493379,0.16445976333898116
13.0,0.563077,0.2931552240061381
12.0,0.616814,0.32897918283341177
11.0,0.993379,0.4977930966723146
14.0,0.0,0.0
12.0,0.24669,0.16445976333898116
12.0,0.28382,0.18921308576480989
12.0,0.24669,0.08222988166949058
12.0,0.616814,0.32897918283341177
11.0,0.0,0.0
9.0,0.24669,0.08222988166949058
12.0,0.0,0.0
11.0,0.28382,0.18921308576480989
13.0,0.24669,0.16445976333898116
12.0,0.0,0.0
10.0,0.24669,0.16445976333898116
14.0,0.28382,0.18921308576480989
13.0,0.24669,0.08222988166949058
11.0,0.616814,0.32897918283341177
12.0,0.0,0.0
11.0,0.21618,0.14412024756852343
12.0,0.24669,0.16445976333898116
11.0,0.24669,0.08222988166949058
12.0,0.563077,0.2931552240061381
10.0,0.0,0.0
9.0,0.24669,0.08222988166949058
11.0,0.0,0.0
10.0,0.24669,0.16445976333898116
11.0,0.21618,0.14412024756852343
11.0,0.0,0.0
