complexity,cost,feature_based_cost
12.0,0.0,0.0
12.0,0.281808,0.14090401785714285
11.0,0.247073,0.247072775588355
16.0,0.247073,0.247072775588355
12.0,0.615719,0.47481537630604154
16.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
11.0,0.247073,0.247072775588355
11.0,0.494146,0.49414555117671
12.0,0.615719,0.47481537630604154
12.0,0.218192,0.10909598214285715
11.0,0.5,0.25
13.0,0.565194,0.4560982168214061
13.0,0.565194,0.4560982168214061
9.0,0.994146,0.7441455511767101
12.0,0.0,0.0
13.0,0.247073,0.247072775588355
9.0,0.247073,0.247072775588355
11.0,0.218192,0.10909598214285715
11.0,0.565194,0.4560982168214061
14.0,0.0,0.0
14.0,0.247073,0.247072775588355
12.0,0.247073,0.247072775588355
13.0,0.218192,0.10909598214285715
13.0,0.565194,0.4560982168214061
12.0,0.281808,0.14090401785714285
10.0,0.5,0.25
11.0,0.0,0.0
11.0,0.281808,0.14090401785714285
14.0,0.247073,0.247072775588355
11.0,0.247073,0.247072775588355
11.0,0.615719,0.47481537630604154
12.0,0.247073,0.247072775588355
10.0,0.494146,0.49414555117671
15.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
12.0,0.615719,0.47481537630604154
13.0,0.0,0.0
12.0,0.281808,0.14090401785714285
13.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
13.0,0.615719,0.47481537630604154
14.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
14.0,0.247073,0.247072775588355
13.0,0.494146,0.49414555117671
9.0,0.615719,0.47481537630604154
12.0,0.218192,0.10909598214285715
10.0,0.5,0.25
12.0,0.565194,0.4560982168214061
13.0,0.565194,0.4560982168214061
9.0,0.994146,0.7441455511767101
14.0,0.0,0.0
12.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
13.0,0.218192,0.10909598214285715
13.0,0.565194,0.4560982168214061
15.0,0.0,0.0
12.0,0.218192,0.10909598214285715
14.0,0.0,0.0
12.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
15.0,0.0,0.0
14.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
14.0,0.218192,0.10909598214285715
13.0,0.565194,0.4560982168214061
11.0,0.0,0.0
9.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.218192,0.10909598214285715
11.0,0.565194,0.4560982168214061
11.0,0.0,0.0
9.0,0.218192,0.10909598214285715
11.0,0.0,0.0
12.0,0.247073,0.247072775588355
10.0,0.247073,0.247072775588355
13.0,0.0,0.0
11.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.218192,0.10909598214285715
10.0,0.565194,0.4560982168214061
12.0,0.281808,0.14090401785714285
10.0,0.5,0.25
11.0,0.281808,0.14090401785714285
13.0,0.281808,0.14090401785714285
11.0,0.5,0.25
13.0,0.0,0.0
12.0,0.281808,0.14090401785714285
16.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
13.0,0.615719,0.47481537630604154
13.0,0.0,0.0
11.0,0.247073,0.247072775588355
15.0,0.0,0.0
14.0,0.247073,0.247072775588355
13.0,0.281808,0.14090401785714285
13.0,0.0,0.0
12.0,0.281808,0.14090401785714285
14.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
11.0,0.615719,0.47481537630604154
14.0,0.247073,0.247072775588355
13.0,0.494146,0.49414555117671
15.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
14.0,0.494146,0.49414555117671
14.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
13.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
14.0,0.494146,0.49414555117671
9.0,0.615719,0.47481537630604154
11.0,0.615719,0.47481537630604154
11.0,0.0,0.0
11.0,0.281808,0.14090401785714285
11.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
11.0,0.615719,0.47481537630604154
11.0,0.0,0.0
12.0,0.247073,0.247072775588355
14.0,0.0,0.0
12.0,0.247073,0.247072775588355
11.0,0.281808,0.14090401785714285
9.0,0.0,0.0
9.0,0.281808,0.14090401785714285
10.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
10.0,0.615719,0.47481537630604154
15.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
15.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.494146,0.49414555117671
12.0,0.247073,0.247072775588355
10.0,0.494146,0.49414555117671
10.0,0.247073,0.247072775588355
10.0,0.247073,0.247072775588355
8.0,0.494146,0.49414555117671
12.0,0.615719,0.47481537630604154
10.0,0.615719,0.47481537630604154
12.0,0.218192,0.10909598214285715
10.0,0.5,0.25
11.0,0.218192,0.10909598214285715
14.0,0.218192,0.10909598214285715
11.0,0.5,0.25
13.0,0.565194,0.4560982168214061
13.0,0.565194,0.4560982168214061
12.0,0.565194,0.4560982168214061
10.0,0.565194,0.4560982168214061
9.0,0.994146,0.7441455511767101
12.0,0.281808,0.14090401785714285
11.0,0.563616,0.2818080357142857
11.0,0.528881,0.38797679344549785
13.0,0.528881,0.38797679344549785
10.0,0.897527,0.6157193941631844
13.0,0.528881,0.38797679344549785
12.0,0.775954,0.6350495690338529
11.0,0.528881,0.38797679344549785
9.0,0.775954,0.6350495690338529
10.0,0.897527,0.6157193941631844
10.0,0.5,0.25
9.0,0.781808,0.39090401785714285
10.0,0.847002,0.597002234678549
10.0,0.847002,0.597002234678549
7.0,1.275954,0.8850495690338529
