complexity,cost,feature_based_cost
12.0,0.0,0.0
12.0,0.281808,0.0
11.0,0.247073,0.0
16.0,0.247073,0.0
12.0,0.615719,0.0
16.0,0.247073,0.0
15.0,0.494146,0.0
11.0,0.247073,0.0
11.0,0.494146,0.0
12.0,0.615719,0.0
12.0,0.218192,0.0
11.0,0.5,0.0
13.0,0.565194,0.0
13.0,0.565194,0.0
9.0,0.994146,0.0
12.0,0.0,0.14090401785714285
13.0,0.247073,0.14090401785714285
9.0,0.247073,0.14090401785714285
11.0,0.218192,0.14090401785714285
11.0,0.565194,0.14090401785714285
14.0,0.0,0.0
14.0,0.247073,0.0
12.0,0.247073,0.0
13.0,0.218192,0.0
13.0,0.565194,0.0
12.0,0.281808,0.14090401785714285
10.0,0.5,0.14090401785714285
11.0,0.0,0.0
11.0,0.281808,0.0
14.0,0.247073,0.0
11.0,0.247073,0.0
11.0,0.615719,0.0
12.0,0.247073,0.14090401785714285
10.0,0.494146,0.14090401785714285
15.0,0.247073,0.0
15.0,0.494146,0.0
12.0,0.615719,0.14090401785714285
13.0,0.0,0.0
12.0,0.281808,0.0
13.0,0.247073,0.0
15.0,0.247073,0.0
13.0,0.615719,0.0
14.0,0.247073,0.14090401785714285
15.0,0.494146,0.14090401785714285
14.0,0.247073,0.0
13.0,0.494146,0.0
9.0,0.615719,0.14090401785714285
12.0,0.218192,0.0
10.0,0.5,0.0
12.0,0.565194,0.14090401785714285
13.0,0.565194,0.0
9.0,0.994146,0.14090401785714285
14.0,0.0,0.0
12.0,0.247073,0.0
14.0,0.247073,0.0
13.0,0.218192,0.0
13.0,0.565194,0.0
15.0,0.0,0.0
12.0,0.218192,0.0
14.0,0.0,0.0
12.0,0.247073,0.0
15.0,0.247073,0.0
15.0,0.0,0.0
14.0,0.247073,0.0
15.0,0.247073,0.0
14.0,0.218192,0.0
13.0,0.565194,0.0
11.0,0.0,0.14090401785714285
9.0,0.247073,0.14090401785714285
13.0,0.247073,0.14090401785714285
11.0,0.218192,0.14090401785714285
11.0,0.565194,0.14090401785714285
11.0,0.0,0.2818080357142857
9.0,0.218192,0.2818080357142857
11.0,0.0,0.14090401785714285
12.0,0.247073,0.14090401785714285
10.0,0.247073,0.2818080357142857
13.0,0.0,0.14090401785714285
11.0,0.247073,0.14090401785714285
13.0,0.247073,0.2818080357142857
11.0,0.218192,0.14090401785714285
10.0,0.565194,0.2818080357142857
12.0,0.281808,0.14090401785714285
10.0,0.5,0.14090401785714285
11.0,0.281808,0.14090401785714285
13.0,0.281808,0.14090401785714285
11.0,0.5,0.14090401785714285
13.0,0.0,0.0
12.0,0.281808,0.0
16.0,0.247073,0.0
13.0,0.247073,0.0
13.0,0.615719,0.0
13.0,0.0,0.14090401785714285
11.0,0.247073,0.14090401785714285
15.0,0.0,0.0
14.0,0.247073,0.0
13.0,0.281808,0.14090401785714285
13.0,0.0,0.0
12.0,0.281808,0.0
14.0,0.247073,0.14090401785714285
14.0,0.247073,0.0
11.0,0.615719,0.14090401785714285
14.0,0.247073,0.0
13.0,0.494146,0.0
15.0,0.247073,0.0
14.0,0.247073,0.0
14.0,0.494146,0.0
14.0,0.247073,0.14090401785714285
15.0,0.494146,0.14090401785714285
