complexity,cost,feature_based_cost
7.0,0.0,0.0
3.0,1.0,0.0
3.0,0.988291,0.0
5.0,0.494146,0.0
1.0,1.988291,0.0
5.0,0.5,0.0
7.0,0.5,0.0
3.0,1.0,0.0
7.0,1.0,0.0
5.0,1.0,0.0
10.0,0.5,0.0
5.0,0.436384,0.0
12.0,0.0,0.0
5.0,1.0,0.0
5.0,0.494146,0.0
9.0,0.718192,0.0
8.0,0.5,0.0
9.0,0.5,0.0
9.0,0.0,0.0
7.0,0.718192,0.0
9.0,0.247073,0.0
9.0,0.0,0.0
9.0,0.218192,0.0
9.0,0.0,0.0
5.0,1.0,0.0
7.0,0.436384,0.0
7.0,0.718192,0.0
7.0,0.436384,0.0
9.0,0.436384,0.0
7.0,0.741218,0.0
7.0,0.712338,0.0
9.0,0.247073,0.0
10.0,0.247073,0.0
9.0,0.247073,0.0
12.0,0.465265,0.0
7.0,0.563616,0.0
7.0,0.5,0.0
7.0,0.5,0.0
10.0,0.5,0.0
10.0,0.5,0.0
9.0,0.0,0.0
