complexity,cost,feature_based_cost,freqs
6.0,0.041696,0.0008338877799955646,151
7.0,0.187231,0.0037445044846961435,143
4.0,0.083392,0.0016677755599911292,88
3.0,0.333407,0.006667929212871793,65
9.0,0.020848,0.0004169438899977823,63
7.0,0.041696,0.0008338877799955646,15
10.0,0.0,0.0,14
9.0,0.041696,0.0008338877799955646,7
8.0,0.187231,0.0037445044846961435,4
9.0,0.020848,0.0004169438899977823,4
9.0,0.020848,0.0004169438899977823,2
9.0,0.020848,0.0004169438899977823,1
11.0,0.103959,0.0020791060485510185,1
