complexity,cost,feature_based_cost,freqs
7.0,0.0,0.0,116
3.0,1.0,0.45000000000000007,89
3.0,0.988291,0.44473099605903904,49
5.0,0.494146,0.2223654980295195,47
1.0,1.988291,0.894730996059039,42
5.0,0.5,0.22500000000000003,28
7.0,0.5,0.22500000000000003,26
3.0,1.0,0.45000000000000007,23
7.0,1.0,0.45000000000000007,20
5.0,1.0,0.45000000000000007,13
10.0,0.5,0.22500000000000003,13
5.0,0.436384,0.1963727678571429,11
12.0,0.0,0.0,11
5.0,1.0,0.45000000000000007,10
5.0,0.494146,0.2223654980295195,9
9.0,0.718192,0.32318638392857146,6
8.0,0.5,0.22500000000000003,3
9.0,0.5,0.22500000000000003,3
9.0,0.0,0.0,3
7.0,0.718192,0.32318638392857146,2
9.0,0.247073,0.11118274901475975,2
9.0,0.0,0.0,2
9.0,0.218192,0.09818638392857144,2
9.0,0.0,0.0,2
5.0,1.0,0.45000000000000007,1
7.0,0.436384,0.1963727678571429,1
7.0,0.718192,0.32318638392857146,1
7.0,0.436384,0.1963727678571429,1
9.0,0.436384,0.1963727678571429,1
7.0,0.741218,0.33354824704427927,1
7.0,0.712338,0.320551881958091,1
9.0,0.247073,0.11118274901475975,1
10.0,0.247073,0.11118274901475975,1
9.0,0.247073,0.11118274901475975,1
12.0,0.465265,0.2093691329433312,1
7.0,0.563616,0.25362723214285715,1
7.0,0.5,0.22500000000000003,1
7.0,0.5,0.22500000000000003,1
10.0,0.5,0.22500000000000003,1
10.0,0.5,0.22500000000000003,1
9.0,0.0,0.0,1
