complexity,cost,feature_based_cost,freqs
1.0,1.964078,0.6546929216027431,310
3.0,1.0,0.33333333333333337,109
6.0,0.964078,0.3213595882694097,32
6.0,0.0,0.0,31
3.0,1.964078,0.6546929216027431,20
4.0,0.964078,0.3213595882694097,12
5.0,1.482039,0.4940131274680382,3
6.0,0.964078,0.3213595882694097,2
5.0,0.964078,0.3213595882694097,2
5.0,1.464078,0.4880262549360764,2
5.0,0.482039,0.16067979413470485,2
14.0,0.0,0.0,2
5.0,1.464078,0.4880262549360764,1
8.0,0.723059,0.24101969120205727,1
3.0,1.0,0.33333333333333337,1
5.0,1.0,0.33333333333333337,1
5.0,1.482039,0.4940131274680382,1
7.0,1.0,0.33333333333333337,1
8.0,1.60874,0.5362467792933892,1
7.0,0.723059,0.24101969120205727,1
