complexity,cost,feature_based_cost,freqs
7.0,0.0,0.0,116
3.0,1.0,0.05,89
3.0,0.988291,0.49414555117671,49
5.0,0.494146,0.247072775588355,47
1.0,1.988291,0.54414555117671,42
5.0,0.5,0.025,28
7.0,0.5,0.025,26
3.0,1.0,0.05,23
7.0,1.0,0.05,20
5.0,1.0,0.05,13
10.0,0.5,0.025,13
5.0,0.436384,0.02181919642857143,11
12.0,0.0,0.0,11
5.0,1.0,0.05,10
5.0,0.494146,0.247072775588355,9
9.0,0.718192,0.035909598214285715,6
8.0,0.5,0.025,3
9.0,0.5,0.025,3
9.0,0.0,0.0,3
7.0,0.718192,0.035909598214285715,2
9.0,0.247073,0.1235363877941775,2
9.0,0.0,0.0,2
9.0,0.218192,0.010909598214285715,2
9.0,0.0,0.0,2
5.0,1.0,0.05,1
7.0,0.436384,0.02181919642857143,1
7.0,0.718192,0.035909598214285715,1
7.0,0.436384,0.02181919642857143,1
9.0,0.436384,0.02181919642857143,1
7.0,0.741218,0.37060916338253247,1
7.0,0.712338,0.2579823738026407,1
9.0,0.247073,0.1235363877941775,1
10.0,0.247073,0.1235363877941775,1
9.0,0.247073,0.1235363877941775,1
12.0,0.465265,0.13444598600846322,1
7.0,0.563616,0.028180803571428572,1
7.0,0.5,0.025,1
7.0,0.5,0.025,1
10.0,0.5,0.025,1
10.0,0.5,0.025,1
9.0,0.0,0.0,1
