complexity,cost,feature_based_cost,freqs
7.0,0.0,0.03,116
3.0,1.0,0.31000000000000005,89
3.0,0.988291,0.30672150865895764,49
5.0,0.494146,0.16836075432947878,47
1.0,1.988291,0.5867215086589576,42
5.0,0.5,0.14,28
7.0,0.5,0.14,26
3.0,1.0,0.28,23
7.0,1.0,0.28,20
5.0,1.0,0.28,13
10.0,0.5,0.14,13
5.0,0.436384,0.1521875,11
12.0,0.0,0.0,11
5.0,1.0,0.28,10
5.0,0.494146,0.16836075432947878,9
9.0,0.718192,0.20109375000000002,6
8.0,0.5,0.14,3
9.0,0.5,0.14,3
9.0,0.0,0.021545758928571426,3
7.0,0.718192,0.20109375000000002,2
9.0,0.247073,0.09072613609331082,2
9.0,0.0,0.021545758928571426,2
9.0,0.218192,0.07800223214285715,2
9.0,0.0,0.0,2
5.0,1.0,0.2930915178571429,1
7.0,0.436384,0.14373325892857142,1
7.0,0.718192,0.20109375000000002,1
7.0,0.436384,0.13909598214285715,1
9.0,0.436384,0.13064174107142856,1
7.0,0.741218,0.22254113149421823,1
7.0,0.712338,0.21636298647233596,1
9.0,0.247073,0.09072613609331082,1
10.0,0.247073,0.08227189502188224,1
9.0,0.247073,0.09263461823616796,1
12.0,0.465265,0.13872836823616796,1
7.0,0.563616,0.17090401785714285,1
7.0,0.5,0.14,1
7.0,0.5,0.14,1
10.0,0.5,0.14845424107142857,1
10.0,0.5,0.14845424107142857,1
9.0,0.0,0.023454241071428572,1
