complexity,cost,feature_based_cost,freqs
8.0,0.160674,0.022066676809407423,136
9.0,0.145348,0.022066676809407423,63
6.0,0.061488,0.0,61
4.0,0.092324,0.0,56
5.0,0.061672,0.0,50
4.0,0.260209,0.043790040548262105,49
8.0,0.030836,0.0,48
9.0,0.04607,0.0,15
7.0,0.046162,0.0,12
11.0,0.030652,0.0,11
7.0,0.046162,0.0,8
11.0,0.030744,0.0,3
8.0,0.197962,0.03195033482159025,3
12.0,0.015418,0.0,3
8.0,0.207595,0.03390638253607927,2
8.0,0.044852,0.0,2
7.0,0.061488,0.0,1
12.0,0.022989,0.0,1
6.0,0.16915,0.023872852894806517,1
10.0,0.048026,0.0,1
10.0,0.030744,0.0,1
9.0,0.202689,0.0329706029717009,1
9.0,0.030836,0.0,1
