complexity,cost,feature_based_cost,freqs
8.0,0.160674,0.009347899870272852,136
9.0,0.145348,0.005516669202351856,63
6.0,0.061488,0.007662461335841992,61
4.0,0.092324,0.007662461335841989,56
5.0,0.061672,0.0,50
4.0,0.260209,0.010947510137065526,49
8.0,0.030836,0.0,48
9.0,0.04607,0.00766246133584199,15
7.0,0.046162,0.003831230667920996,12
11.0,0.030652,0.007662461335841989,11
7.0,0.046162,0.003831230667920996,8
11.0,0.030744,0.003831230667920996,3
8.0,0.197962,0.007987583705397563,3
12.0,0.015418,0.0,3
8.0,0.207595,0.008476595634019818,2
8.0,0.044852,0.0,2
7.0,0.061488,0.007662461335841992,1
12.0,0.022989,0.005746846001881492,1
6.0,0.16915,0.005968213223701629,1
10.0,0.048026,0.0,1
10.0,0.030744,0.003831230667920995,1
9.0,0.202689,0.010158266076885723,1
9.0,0.030836,0.0,1
