complexity,cost,feature_based_cost,freqs
7.0,0.0,0.1,116
3.0,1.0,0.30000000000000004,89
3.0,0.988291,0.297658220470684,49
5.0,0.494146,0.198829110235342,47
1.0,1.988291,0.4976582204706841,42
5.0,0.5,0.1,28
7.0,0.5,0.1,26
3.0,1.0,0.2,23
7.0,1.0,0.2,20
5.0,1.0,0.2,13
10.0,0.5,0.1,13
5.0,0.436384,0.18727678571428574,11
12.0,0.0,0.0,11
5.0,1.0,0.2,10
5.0,0.494146,0.198829110235342,9
9.0,0.718192,0.14363839285714286,6
8.0,0.5,0.1,3
9.0,0.5,0.1,3
9.0,0.0,0.07181919642857143,3
7.0,0.718192,0.14363839285714286,2
9.0,0.247073,0.12123375154624243,2
9.0,0.0,0.07181919642857143,2
9.0,0.218192,0.1,2
9.0,0.0,0.0,2
5.0,1.0,0.24363839285714287,1
7.0,0.436384,0.15909598214285714,1
7.0,0.718192,0.14363839285714286,1
7.0,0.436384,0.14363839285714286,1
9.0,0.436384,0.1154575892857143,1
7.0,0.741218,0.19824366535301297,1
7.0,0.712338,0.198829110235342,1
9.0,0.247073,0.12123375154624243,1
10.0,0.247073,0.09305294797481387,1
9.0,0.247073,0.12759535868909958,1
12.0,0.465265,0.12123375154624244,1
7.0,0.563616,0.15636160714285716,1
7.0,0.5,0.1,1
7.0,0.5,0.1,1
10.0,0.5,0.12818080357142858,1
10.0,0.5,0.12818080357142858,1
9.0,0.0,0.07818080357142858,1
