complexity,cost,feature_based_cost
8.0,0.160674,0.09136568125621661
9.0,0.145348,0.08370321992037462
6.0,0.061488,0.03074188132620395
4.0,0.092324,0.046158839980723926
5.0,0.061672,0.030833917309039942
4.0,0.260209,0.15199220497133142
8.0,0.030836,0.015416958654519971
9.0,0.04607,0.023033401998943964
7.0,0.046162,0.023079419990361963
11.0,0.030652,0.015324922671683979
7.0,0.046162,0.023079419990361963
11.0,0.030744,0.015370940663101976
8.0,0.197962,0.11495091360786579
12.0,0.015418,0.0077084793272599855
8.0,0.207595,0.12074451128384027
8.0,0.044852,0.022424667133847234
7.0,0.061488,0.03074188132620395
12.0,0.022989,0.011493692003762985
6.0,0.16915,0.09650566526419047
10.0,0.048026,0.024011676598801962
10.0,0.030744,0.015370940663101974
9.0,0.202689,0.11782419851207988
9.0,0.030836,0.015416958654519971
