complexity,cost,feature_based_cost
8.0,0.160674,0.060910454170811076
9.0,0.145348,0.05580214661358308
6.0,0.061488,0.020494587550802634
4.0,0.092324,0.030772559987149277
5.0,0.061672,0.02055594487269329
4.0,0.260209,0.10132813664755429
8.0,0.030836,0.010277972436346644
9.0,0.04607,0.01535560133262931
7.0,0.046162,0.01538627999357464
11.0,0.030652,0.010216615114455985
7.0,0.046162,0.015386279993574638
11.0,0.030744,0.010247293775401317
8.0,0.197962,0.07663394240524385
12.0,0.015418,0.005138986218173323
8.0,0.207595,0.08049634085589351
8.0,0.044852,0.014949778089231484
7.0,0.061488,0.020494587550802634
12.0,0.022989,0.0076624613358419885
6.0,0.16915,0.06433711017612698
10.0,0.048026,0.016007784399201305
10.0,0.030744,0.010247293775401315
9.0,0.202689,0.07854946567471993
9.0,0.030836,0.010277972436346644
