complexity,cost,feature_based_cost
7.0,0.0,0.0
3.0,1.0,0.25
3.0,0.988291,0.49414555117671
5.0,0.494146,0.247072775588355
1.0,1.988291,0.7441455511767101
5.0,0.5,0.125
7.0,0.5,0.125
3.0,1.0,0.25
7.0,1.0,0.25
5.0,1.0,0.25
10.0,0.5,0.125
5.0,0.436384,0.10909598214285715
12.0,0.0,0.0
5.0,1.0,0.25
5.0,0.494146,0.247072775588355
9.0,0.718192,0.17954799107142858
8.0,0.5,0.125
9.0,0.5,0.125
9.0,0.0,0.0
7.0,0.718192,0.17954799107142858
9.0,0.247073,0.1235363877941775
9.0,0.0,0.0
9.0,0.218192,0.054547991071428575
9.0,0.0,0.0
5.0,1.0,0.25
7.0,0.436384,0.10909598214285715
7.0,0.718192,0.17954799107142858
7.0,0.436384,0.10909598214285715
9.0,0.436384,0.10909598214285715
7.0,0.741218,0.37060916338253247
7.0,0.712338,0.30162076665978355
9.0,0.247073,0.1235363877941775
10.0,0.247073,0.1235363877941775
9.0,0.247073,0.1235363877941775
12.0,0.465265,0.17808437886560607
7.0,0.563616,0.14090401785714285
7.0,0.5,0.125
7.0,0.5,0.125
10.0,0.5,0.125
10.0,0.5,0.125
9.0,0.0,0.0
