complexity,cost,feature_based_cost,freqs
7.0,0.0,0.0,116
3.0,1.0,1.0,89
3.0,0.988291,0.0,49
5.0,0.494146,0.0,47
1.0,1.988291,1.0000000000000002,42
5.0,0.5,0.5,28
7.0,0.5,0.5,26
3.0,1.0,1.0,23
7.0,1.0,1.0,20
5.0,1.0,1.0,13
10.0,0.5,0.5,13
5.0,0.436384,0.4363839285714286,11
12.0,0.0,0.0,11
5.0,1.0,1.0,10
5.0,0.494146,0.0,9
9.0,0.718192,0.7181919642857143,6
8.0,0.5,0.5,3
9.0,0.5,0.5,3
9.0,0.0,0.0,3
7.0,0.718192,0.7181919642857143,2
9.0,0.247073,0.0,2
9.0,0.0,0.0,2
9.0,0.218192,0.2181919642857143,2
9.0,0.0,0.0,2
5.0,1.0,1.0,1
7.0,0.436384,0.4363839285714286,1
7.0,0.718192,0.7181919642857143,1
7.0,0.436384,0.4363839285714286,1
9.0,0.436384,0.4363839285714286,1
7.0,0.741218,0.0,1
7.0,0.712338,0.2181919642857143,1
9.0,0.247073,0.0,1
10.0,0.247073,0.0,1
9.0,0.247073,0.0,1
12.0,0.465265,0.2181919642857143,1
7.0,0.563616,0.5636160714285714,1
7.0,0.5,0.5,1
7.0,0.5,0.5,1
10.0,0.5,0.5,1
10.0,0.5,0.5,1
9.0,0.0,0.0,1
