orig_index,analysis_index,province,society,name,grandparents_major,grandparents_variant,grandchildren_major,grandchildren_variant,uncles_major,uncles_variant,aunts_major,aunts_variant,nephewniece_major,nephewniece_variant,sibling_major,sibling_variant,crosscousin_major,crosscousin_variant,siblinginlaw_major,siblinginlaw_variant
1,305,1,1,Bergdama,1,1,2,3,2,2,1,1,7,11,2,9,7,17,.,.
2,1,1,2,Nama,1,1,2,3,1,1,2,2,2,5,1,1,2,2,3,7
3,262,2,1,Kung,1,2,3,5,4,4,3,4,5,9,4,14,3,4,5,12
4,332,2,2,Xam,1,1,2,3,2,2,1,1,3,6,2,9,1,1,6,14
5,64,3,1,MpeneziNgoni,2,3,1,1,1,1,2,2,6,10,5,16,2,2,5,13
6,111,3,2,Pondo,2,3,1,1,2,2,1,1,1,1,1,1,2,2,9,18
7,5,3,3,Swazi,1,1,1,1,1,1,2,2,1,1,2,9,2,2,19,36
8,116,3,4,Thonga,2,3,1,1,3,3,5,6,1,1,3,11,4,7,2,5
9,497,3,5,ZezuruShona,3,7,1,1,3,3,5,6,1,1,6,17,4,7,4,11
10,398,4,1,KgatlaTswana,1,1,1,1,3,3,5,6,8,12,6,17,2,2,3,9
11,120,4,2,Lozi,2,3,1,1,3,3,5,6,6,10,6,17,1,1,1,1
12,121,4,3,Venda,2,3,1,1,3,3,5,6,1,1,6,17,2,2,6,14
13,191,5,1,Ambo,1,1,1,1,1,1,2,2,1,1,5,16,3,4,1,1
14,245,5,2,Herero,1,1,1,1,3,3,2,2,1,1,6,17,2,2,1,1
15,220,5,3,Mbundu,1,1,1,1,1,1,2,2,1,1,7,20,2,2,1,1
16,109,6,1,Chokwe,2,3,1,1,2,2,1,1,1,1,9,23,2,2,1,1
17,323,6,2,Dzing,1,1,3,4,2,2,1,1,3,6,4,14,2,2,2,5
18,102,6,3,Luchazi,2,3,1,1,4,4,1,1,3,6,3,11,2,2,1,1
19,11,6,4,Ndembu,2,3,1,1,1,1,2,2,1,1,7,20,2,2,1,1
20,13,6,5,Pende,2,3,1,1,1,1,2,2,1,1,6,17,5,11,4,10
21,134,7,1,Chewa,6,14,1,1,1,1,2,2,1,1,6,17,2,2,2,5
22,119,7,2,Ila,2,3,1,1,3,3,5,6,1,1,8,22,2,2,10,21
23,11,7,3,Lamba,2,3,1,1,1,1,2,2,1,1,7,20,2,2,1,1
24,17,7,4,Shila,1,1,1,1,1,1,2,2,1,1,9,23,2,2,1,1
25,91,7,5,Yao,2,3,1,1,3,3,2,2,1,1,17,38,2,2,1,1
26,160,8,1,Merina,1,1,1,1,5,6,4,5,6,10,12,29,1,1,8,16
27,329,8,2,Tanala,1,1,1,1,2,2,1,1,6,10,12,29,1,1,8,16
28,132,9,1,Bena,6,14,1,1,1,1,2,2,1,1,3,11,2,2,1,1
29,17,9,2,Fipa,1,1,1,1,1,1,2,2,1,1,9,23,2,2,1,1
30,85,9,3,Nyakyusa,2,3,1,1,1,1,2,2,1,1,6,17,2,2,3,7
31,138,9,4,Nyamwezi,6,14,1,1,2,2,1,1,1,1,6,17,2,2,7,15
